Company,Contact Address,Specialization,Unnamed: 3,Website,Email
"Ajuba Solutions (India) Pvt.
Ltd., Chennai","Website: www.ajubanet.net Email:
devendra.saharia@ajubanet.net","Customer Interaction, Transaction Processing, Data
Analysis",,www.ajubanet.net,devendra.saharia@ajubanet.net
"Akshay Software
Technologies Ltd., Mumbai","Website: www.akshay.com Email:
kpr@akshay.co.in","Internet / Intranet / E-commerce, Client / Server
Technology, ERP Practices, Legacy Systems
Maintenance, Euro Currency Conversions",,www.akshay.com,kpr@akshay.co.in
"Alcatel India Limited.,
Gurgaon","Website: www.alcatel.com Email:
Subhash.Bana@alcatel.fr","End-to-end Network Management, Next Generation
IN services",,www.alcatel.com,Subhash.Bana@alcatel.fr
"Algorithms Software Pvt.
Ltd., Mumbai",Website: www.algosoftware.com,Software Development & Consultancy,,www.algosoftware.com,
"All e Technologies, Noida","Website: www.alletec.com Email:
amian@alletec.com","CRM, Entreprise Information systems, Internet
Business Solutions",,www.alletec.com,amian@alletec.com
"Allsoft Technologies Ltd,
Secunderabad","Website: www.allsoft-corp.com Email:
allsoft@hd1.vsnl.net.in","Client-server application development, Stock broking,
E-business, Cobol",,www.allsoft-corp.com,allsoft@hd1.vsnl.net.in
"ALSTOM Systems Limited,
Noida","Website: www.alstom.com Email:
rathin.basu@vsnl.com","Supervisory Control and Data Acquisition System
(SCADA) for Power and Industrial Processes,
Terminal Automation System for Oil / Gas sector,
Product development for Real Time application",,www.alstom.com,rathin.basu@vsnl.com
"American Express (India)
Pvt. Ltd., New Delhi","Website: www.americanexpress.com Email:
Sanjay.2.Gupta@aexp.com",Data Management and Information Analysis & Control,,www.americanexpress.com,Sanjay.2.Gupta@aexp.com
"American Megatrends (India)
Pvt. Ltd, Chennai",Email: sundaramn@amiindia.co.in,"Desktop and Portable Bios, PCMCIA Solutions and
Systems Management Software, Device Drivers for
various Operating Systems, GUI, Internet/Intranet,
Java, JDBC",,,sundaramn@amiindia.co.in
"AmitySoft Technologies Pvt
Ltd, Chennai","Website: www.amitysoft.com Email:
jayakumar@amitysoft.com","Java based software development, software testing,
software quality consulting, training on software
quality",,www.amitysoft.com,jayakumar@amitysoft.com
"Amoeba Telecom Ltd,
Coimbatore","Website: www.amoebatel.com Email:
venu@amoebatel.com","Internet Telephony, Mobile Internet, Network
Analysis, Network Processor",,www.amoebatel.com,venu@amoebatel.com
"Ampersand Software
Applications Ltd., Bangalore","Website: www.ampercorp.com Email:
ravindrak@ampercorp.com","Strategic Technologies, Offsite development, Onsite
programming, E-Commerce Solutions",,www.ampercorp.com,ravindrak@ampercorp.com
"Amsoft Information Services
(I) Pvt. Ltd., Bangalore","Website: www.amsoftis.com Email:
jairam@amsoftis.com","Banking and Finance,Insurance Services,
Telecommunications, Transportation, Manufacturing,
Retail, Distribution",,www.amsoftis.com,jairam@amsoftis.com
"Amsoft Systems Pvt Ltd,",Website: www.amsoftindia.com Email:,"New Media, Web Technologies & Open Systems,",,www.amsoftindia.com,
New Delhi,pankaj.sethi@amsoft.net,"Embedded Systems & Signal Processing, AEI &
Expert Systems",,,
"AMSYS Infotech Pvt Ltd,
Noida","Website: www.amsysinfotech.com Email:
kulbir@amsysinfotech.com","Client-server application, internet, intranet, e-
commerc",,www.amsysinfotech.com,kulbir@amsysinfotech.com
Anjaleem Enterprises Pvt.,Email: mehta_madhu@hotmail.com,"Telephone Call Metering Systems, Real Time",,,mehta_madhu@hotmail.com
,,,,,
"Ltd., Vadodara",,"Software Development, Embedded Software Designs,
Computer Telephony Software",,,
"Annet Communications Pvt
Ltd, Mumbai","Website: www.annetsite.com Email:
rohan@annetsite.com","eBusiness solutions, multimedia applicatiions, client-
server application development, webenabling
solutions",,www.annetsite.com,rohan@annetsite.com
"An-Net Infotech Limited,
New Delhi","Website: www.an-netinfotech.com Email:
ashokmalhotra@an-netinfotech.com","E-Commerce Services, Net-enabled Services,
Embedded Software, System Re-engineering",,www.an-netinfotech.com,ashokmalhotra@an-netinfotech.com
"Annik Systems Pvt Ltd, New
Delhi","Website: www.anniksystems.com Email:
rahul@anniksystems.com","Offshore software development, web based
applications, VB, ASP, SQL Server, Microsoft
Technologies, COM+, .NET, OLAP, Data
Warehousing, Data Mining, Advanced Reporting
solutions",,www.anniksystems.com,rahul@anniksystems.com
"Ansal Housing &
Construction Ltd, New Delhi","Website: www.ansalhousingltd.com Email:
dansal@del3.vsnl.net.in","Real Estate Development, Management of Clubs,
Development of Infrastructure for IT parks,
Development of Hospitality Industry",,www.ansalhousingltd.com,dansal@del3.vsnl.net.in
"Antares Systems Pvt Ltd,
Bangalore","Website: www.antaressystems.com Email:
suresh@antaresystems.com","E-commerce, EAI, financial systems, telemedicine",,www.antaressystems.com,suresh@antaresystems.com
"ANZ Information Technology
Pvt. Ltd., Bangalore",Email: sunder@anz.com,Software solutions in Financial Services area,,,sunder@anz.com
"Apar Technologies Ltd,
Mumbai","Website: www.apar.com Email:
sanjiv@apar.com","Specialisation: Payment Solutions, Offshore
development solutions,B2B/B2C solutions, Enterprise
application integartion (EAI)",,www.apar.com,sanjiv@apar.com
"Apex Computer &
Engineering Services, Goa",Email: sonaliamonkar@hotmail.com,"Software Consultancy, Maintenance, Software
Training",,,sonaliamonkar@hotmail.com
"Apex Technologies Pvt. Ltd.,
Bangalore","Website: www.apex.soft.net Email:
arvind_tiwari@apex.soft.net",Insurance,,www.apex.soft.net,arvind_tiwari@apex.soft.net
"Applied Software Pvt. Ltd.,
Ahmedabad","Website: www.appliedcommerce.com
Email: applied_software@vsnl.com","RDBMS / Datawarehousing / Datamining, Software
Maintenance and Migration, E-Commerce / EDI,
Software Product Development",,www.appliedcommerce.com,applied_software@vsnl.com
"Apt Software Avenues Pvt.
Ltd., Calcutta","Website: www.aptsoftware.com Email:
atulapt@vsnl.com","VLSI CAD, RDBMS applications - Client/ Server
System, Networking, Software development for
PalmOS",,www.aptsoftware.com,atulapt@vsnl.com
"Aptech Limited., Mumbai","Website: www.aptech-worldwide.com
Email: romab@aptech.ac.in","Knowledge Management & E-Governance, Enterprise
Consulting Implementation and Customisation
solutions.,Migration of Legacy applications to Web-
enabled solutions, High-end IT Training",,www.aptech-worldwide.com,romab@aptech.ac.in
"ARB Software India (P) Ltd.,
Calcutta",Email: arbs@giasc101.vsnl.net.in,"Web Techniques, Software Maintenance / Migration,
Software Product Development, E-commerce / EDI",,,arbs@giasc101.vsnl.net.in
"Aress Software & Education
Technologies (P) Ltd., Nasik","Website: www.aresindia.com Email:
aress_nsk@sancharnet.in","Internet Technologies, Client-server Technologies,
Embedded software, Wireless Technologies",,www.aresindia.com,aress_nsk@sancharnet.in
"Arthur Andersen India
Private Limited, New Delhi","Website: www.arthurandersen.com Email:
ammet.parikh@in.arthurandersen.com","Business Consulting, Assurance and Business
Advisory, Corporate Finance, Tax, Regulatory and
Business Advisory",,www.arthurandersen.com,ammet.parikh@in.arthurandersen.com
"Arthur D. Little India
Consultancy, Mumbai",Email: mukherji.srinath@adlittle.com,"Strategy, E-commerce, incubation",,,mukherji.srinath@adlittle.com
"Arya Communications &
Electronics Services Ltd.,
Mumbai","Website: www.aryacom.com Email:
rkk@aryacom.com","Onsite/ Offshore Services, Systems Integration",,www.aryacom.com,rkk@aryacom.com
"Aryabhatta Solutions Ltd.,
Hyderabad","Website: www.aryabhattasolutions.com
Email: t.rajendra@aryabhattasolutions.com","Wireless LBSS/SP, GIS, WAP Solutions, ASP",,www.aryabhattasolutions.com,t.rajendra@aryabhattasolutions.com
"Ashtech Infotech Pvt. Ltd.,
Mumbai","Website: www.ashinfo.com Email:
ashinfo@bom.2vsnl.in","Back Office Products / Customization, E-commerce",,www.ashinfo.com,ashinfo@bom.2vsnl.in
Company,Contact Address,Specialization,,,
"ASL Technologies Ltd., New
Delhi","Website: www.asltechnologies.com Email:
sandeep.grover@asltechnologies.com","Interner & e-commerce, WAP for mcommerce,
Database management, Client-server, Technical
Support, Networking
Location:",,www.asltechnologies.com,sandeep.grover@asltechnologies.com
"ASM Technologies Limited,
Bangalore","Website: www.asmltd.com Email:
synergic@vsnl.com","ERP, Supply Chain Management, Customer
Relationship Management, End User Support, E-
commerce, Internet Technologies, Onsite and
offshore Software Consultancy and Development",,www.asmltd.com,synergic@vsnl.com
"Astral Tele*Foundation
Pvt. Ltd., Bangalore","Website: www.astraltel.com Email:
astral@del2.vsnl.net.in","Telecommunications Billing and Customer Care
System, Call Centre Applications, Web-Based
Applications, Operation Research Solutions",,www.astraltel.com,astral@del2.vsnl.net.in
"Atari Informatics Ltd., New
Delhi","Website: www.atarimto.com Email:
ho@atarimto.com","IT Education & Training, HR Services (Consultancy),
IT Enabled services & Training (MT & Call centre),
Web designing & development",,www.atarimto.com,ho@atarimto.com
"Atika Computer Education
Services, Goa",Email: nileshamonkar@yahoo.com,"Software Consultancy, Maintenance, Software
Training",,,nileshamonkar@yahoo.com
"Atos Origin India Private
Limited, Mumbai","Website: www.origin-it.com Email:
uday.gharpure@in.origin-it.com","ERP Solution - SAP, Baan, MFG / Pro, Business
Application Solutions - Software Engineering,
Technical Automation, Business Continuity - Euro
Millenium.",,www.origin-it.com,uday.gharpure@in.origin-it.com
"Autodesk India Pvt. Ltd.,
Bangalore","Website: www.autodesk.com Email:
s.sridhar@autodesk.com","CAD/CAM/CAE (AEC, MCAD, GIS), Multimedia",,www.autodesk.com,s.sridhar@autodesk.com
"Avantel Softech Ltd.,
Hyderabad","Website: www.avantel-india.com Email:
avantel1@hd2.vsnl.net.in","Communication - Microwave Products, Radio
Communication Systems Network Access Products,
SATCOM Products, Software - ERP Solutions,
Internet Solutions E-commerce, Web enabled
databases, Euro",,www.avantel-india.com,avantel1@hd2.vsnl.net.in
"Aver Software Technologies
Ltd., Mumbai","Website: www.averphoto.com Email:
aver@vsnl.com","Specialisation: Image Editing Software, Graphic
Software, Machine Operating System, Ripping
Software",,www.averphoto.com,aver@vsnl.com
"Aviation Software
Development Consultancy
India Ltd., Chennai",Email: ceo@asdc.co.in,Specialisation: Aviation Software,,,ceo@asdc.co.in
"AVL India Software Pvt Ltd,
Gurgaon","Website: www.avlindsoft.com Email:
Shantanu.Dash@avl.com","Client-server/business App, Internet based
application, realtime systems/embedded, software re-
engineering",,www.avlindsoft.com,Shantanu.Dash@avl.com
"AXA Business Services Pvt
Ltd, Bangalore","Website: www.axa.com Email: abs@axa-
abs.co.in","Insurance Back office, Finance & accounting, CRM,
Call Centre",,www.axa.com,"abs@axa-
abs.co.in"
"Axes Technologies (I) Pvt
Ltd, Bangalore","Website: www.axestech.com Email:
s_uday@axes-mach01.usa.alcatel.com",Telecom software development,,www.axestech.com,s_uday@axes-mach01.usa.alcatel.com
"Axiom Solutions Pvt Ltd,
Mumbai","Website: www.kssi.net Email:
v_kamdar@hotmail.com","Application of Dynamic Simulation, E- Business
Services includes E-Services,E-Training, Training to
operators in operating simulated plants, Project
Management and Software Services",,www.kssi.net,v_kamdar@hotmail.com
"AXS Online (P) Ltd,
Bangalore",Website: www.axsworld.com,"Website hosting, Wesite designing, E-commerce
(B2C), Portal Management & development",,www.axsworld.com,
"Aztec Software &
Technologies(P) Ltd.,
Bangalore","Website: www.aztecsoft.com Email:
chinni@aztec.soft.net","XML, Databases, Net Infrastructure",,www.aztecsoft.com,chinni@aztec.soft.net
"Aztek Systems Pvt Ltd,
Bhubaneswar",Email: azteksystems@rediffmail.com,Medical Transcription,,,azteksystems@rediffmail.com
"BAeHAL Software Limited,
Bangalore","Website: www.baehal.com Email:
mkgovind@baehal.com","Enterprise Systems, Real Time Projects, Y2K,
Professional Services, Content Creation, Engineering
Services, Product Development, Smart Card, Aircraft",,www.baehal.com,mkgovind@baehal.com
Company,Contact Address,Specialization,,,
,,Logistics,,,
"Bamboo Software Solutions
Pvt. Ltd, Hyderabad","Website: www.bamboosoft.com Email:
raju@bamboosoft.com","Internet Technologies, Client Server Applications",,www.bamboosoft.com,raju@bamboosoft.com
"Bangalore Softsell Ltd,
Bangalore","Website: www.bangaloresoftsell.com Email:
sragothaman@bangaloresoftsell.com","Legacy system Migration Services, Euro Compliance
Services, Distribution Product development",,www.bangaloresoftsell.com,sragothaman@bangaloresoftsell.com
"Bangalore Software Services
Ltd, Bangalore","Website: www.bangaloresoftware.com
Email: surinder@bangaloresoftware.com","Internet & E - Commerce Solutions, Datawarehousing
& data mining, Enterprise Resource Planning,
Telecom / WAP",,www.bangaloresoftware.com,surinder@bangaloresoftware.com
"Barry-Wehmiller International
Resources Pvt Ltd, Chennai","Website: www.bwir.com Email:
krishnakumar.k@marquip.com","Technology Consulting & Architecture, Client Server
& Distributed Applications Development &
Maintenance, B2B Portal Design, E-Business,
Artificial Intelligence, Data Mining, Integration
between the AS/400 and the Web, CAD to ERP
integration",,www.bwir.com,krishnakumar.k@marquip.com
"Baypackets Technologies
Pvt Ltd, Noida","Websitewww.baypackets.com
Emailsanjeev.chawla@baypackets.com","Telecommunication Software & Solutions, Internet,
Software Product Development",,,
"Bells Softech Limited,
Bangalore","Website: www.bellsoftech.com Email:
info@bellsoftech.com","Real time control system and embedded systems,
Networking and Internet, Storage Technology,
Application Development & Software Services",,www.bellsoftech.com,info@bellsoftech.com
"Beni Softwares Pvt Ltd,
Jalandhar","Website: www.benigroup.com
Email: raisin@benigroup.com","ERP Software development, E-commerce,
Application Software development, Consulting and
projects",,www.benigroup.com,raisin@benigroup.com
"Bentley Systems India Pvt
Ltd, New Delhi","Website: www.bentley.co.in Email:
sandeep.srivastava@bentley.com","Web-Enabled Engineering, Engineering Back office
automation, Infrastructure Engineering, Application
Development & deployment for projects",,www.bentley.co.in,sandeep.srivastava@bentley.com
"Bersoft Infotech Pvt Ltd,
Haryana","Website: www.bersoftinfotech.com Email:
contact@bersoftinfotech.com","Client Server / MS 98/ Windows, Manufacturing-
Inventry Control, Education-School Monitary System,
Field Force Monitering System",,www.bersoftinfotech.com,contact@bersoftinfotech.com
"Bhari Information
Technology Systems Pvt.
Ltd., Chennai","Website: www.bitechm.com Email:
skarahman@bitechm.com","Customised Software Development, Euro, Banking
Solutions,IBM Mainframe Solutions, E-commerce +
Internet Applications",,www.bitechm.com,skarahman@bitechm.com
"Bharti Infotrac Ltd., New
Delhi",Email: rajiv.shah@bhartiinfotrac.com,"Back office operations (Transaction, Finance &
Accounting), Contact centre, IT Help desk",,,rajiv.shah@bhartiinfotrac.com
"Bharti Telesoft Ltd., New
Delhi","Website: www.bhartitelesoft.com Email:
sanjiv.mital@bhartitelesoft.com","Onsite/Offshore services, IT Enabled Services,
Internet & E- Commerce,Networking, Telecom",,www.bhartitelesoft.com,sanjiv.mital@bhartitelesoft.com
"Bhilwara Infotech Limited,
Noida","Website: www.bhilwarainfo.com Email:
sdubey@bhilwarainfo.com","Offshore, Onsite Software Development,
Consultancy, Internet, E-Commerce, Call Centre, IT
Enabled Services",,www.bhilwarainfo.com,sdubey@bhilwarainfo.com
"Binary Semantics Limited,
Gurgaon","Website: www.bslindia.com Email:
achoudhary@bslindia.com","Turnkey Software Solutions and Consulting Services,
Offshore Software Services, Onsite Consulting
Services, Knowledge Databases and Scientific
Research Software, Manufacturing and Enterprise
Resource Planning Solutions, Software Distribution",,www.bslindia.com,achoudhary@bslindia.com
"Bindview India Private
Limited, Pune","Website: www.bindview.com Email:
sghosh@bindview.com","Directory Services, Administration & Co-Management
of heterogeneous networks , Migration",,www.bindview.com,sghosh@bindview.com
"Birla Technologies Ltd,
Mumbai","Website: www.birlasoftware.com Email:
ggidwani@birlatechnologies.com","Manufacturing, Banking, Finance, Pharmaceuticals,
Healthcare",,www.birlasoftware.com,ggidwani@birlatechnologies.com
"Birlasoft Limited, Noida","Website: www.birlasoft.com Email:
atanu.banerji@birlasoft.com","Specialisation: Client Server-based applications,Y2K
Projects, EC/EDI Products & Services, Software
Maintenance Services",,www.birlasoft.com,atanu.banerji@birlasoft.com
"Blue Chip Computer
Consultants Pvt. Ltd.,","Website: www.bluechipsw.com Email:
bcho@bom5.vsnl.net.in","Customised Software Development, MRP/ERP
solutions, Implementation Services, Software",,www.bluechipsw.com,bcho@bom5.vsnl.net.in
Company,Contact Address,Specialization,,,
Mumbai,,Packages,,,
"Blue Star Infotech Ltd,
Mumbai","Website: www.bsil.com Email:
sudhirg@bsil.com","HP 3000/9000 MPE/-ix systems, Client/Network
systems including Internet/Web Technologies,Baan
Implementation and consulting, Medical Imaging
process and embedded systems",,www.bsil.com,sudhirg@bsil.com
"BMC Software India Pvt.
Ltd., Pune","Website: www.bmc.com Email:
pankaj_dhume@bmc.com","Enterprise systems management, Enterprise Data
management, Storage Management, Service Provider
Solutions",,www.bmc.com,pankaj_dhume@bmc.com
"Boston Education &
Software Technologies Pvt.
Ltd., Mumbai","Website: www.bostonci.com Email:
corporate@bostonci.com","Web Applications, Java Technologies, Internet
Integration / Enablement Services, Client/Server
Applications",,www.bostonci.com,corporate@bostonci.com
"Botree Software
International Ltd, Chennai","Website: www.botree.co.in Email:
rajeshkk@botree.co.in","Health care & Hospital management, ERP for Textile
industry, Supply chain Management, Custom
Software development",,www.botree.co.in,rajeshkk@botree.co.in
"BPB Publications, New Delhi",Email: bpb@vsnl.com,"Computer books, CD ROMs and Software",,,bpb@vsnl.com
"BPL Innovision Technologies
Pvt Ltd, Bangalore","Website: www.bplitl.com Email:
bk.syngal@bplmail.com","Telecom-switching/Protocol/In/CTI, Internet/Mobile
internet technologies, Technical support services, GIS",,www.bplitl.com,bk.syngal@bplmail.com
BPL Telecom Ltd. Bangalore,"Website: www.bpltelecom.com Email:
ranjit.shah@bplmail.com","Billing and Customer Care Solutions for Telecom
Services (Cellular, Paging and CSP/ISP),
Computer - Telephony Integration Products and
Solutions, Systems Integration, Internet / Intranet
Applications, Enterprise Solutions",,www.bpltelecom.com,ranjit.shah@bplmail.com
"Brigade Corporation India
Pvt Ltd, Chennai","Website: www.brigade.com Email:
baskarn@brigade.com","Consulting, Web-based services, on-line chat,
Intelligent reports",,www.brigade.com,baskarn@brigade.com
"BSEL Information Systems
Limited, Mumbai","Website: www.bselinfo.com Email:
kirit@bselinfo.com","Data Conversion, Medical Transcription, GIS
Services, Software Development ,System
Integeration, Product Development, ERP packages,
Management Consultancy",,www.bselinfo.com,kirit@bselinfo.com
"BT (Worldwide) Ltd., New
Delhi","Website: www.bt.com Email:
setha@india.btap.bt.com","Global Data Transmission, Managed Data Services,
Global Call Centre Communication Services",,www.bt.com,setha@india.btap.bt.com
"BTN Infotech India Pvt Ltd,
New Delhi","Website: www.gate4india.com Email:
delhi@india2korea.com","IT Events, Software outsourcing",,www.gate4india.com,delhi@india2korea.com
"Busy Infotech Pvt. Ltd, New
Delhi","Website: www.busyinfotech.com Email:
dinesh@busyinfotech.com",Business Accounting,,www.busyinfotech.com,dinesh@busyinfotech.com
"CA Computer Associates
India Pvt Ltd, Mumbai","Website: www.cai.com Email:
hugia01@cai.com","Sales, marketing and technical support, Software
solutions, Packaged software",,www.cai.com,hugia01@cai.com
"Cadence Design Systems
India Pvt. Ltd., Noida","Website: www.cadence.com Email:
Jassi@Cadence.com","EDA Tools, EDA Consulting Services",,www.cadence.com,Jassi@Cadence.com
"Caldera International Inc,
New Delhi","Website: www.sco.com Email:
srikanta@caldera.com","Systems software, Networking operating system,
Web enabling & integration, Internet, e-business, e-
commerce platform",,www.sco.com,srikanta@caldera.com
"California Software Co. Ltd.,
Chennai","Website: www.calsoft.co.in Email:
santosh@calsoft.co.in","e- Business Solutions, Windows based Systems, B2B
Trading Platform- Product, Product Re- Engineering
Services",,www.calsoft.co.in,santosh@calsoft.co.in
"Cambridge Technology
Partners, Bangalore","Website: www.ctp.com Email:
ksridh@ctp.com","E-business solutions, Customer Loyalty Solutions,
Management Consulting, Systems Integrations",,www.ctp.com,ksridh@ctp.com
"Canbank Computer Services
Ltd., Bangalore","Website: www.ccslindya.com Email:
svk@ccslindia.com","Software Products for banking & Financial Sectors,
Turnkey Solutions for Banking & Financial Services,
Consultancy, Education & Training in areas",,www.ccslindya.com,svk@ccslindia.com
,,overlapping IT and Banking,,,
"Canon India Pvt Ltd., New
Delhi","Website: www.canon-asia.com Email:
Hemant@sdc.canon-in.com","Embedded software for printers, scanners and other
office equipments, Document management software,
Device drivers, Image processing",,www.canon-asia.com,Hemant@sdc.canon-in.com
Company,Contact Address,Specialization,,,
"Cap Gemini Ernst & Young
Consulting India Pvt Ltd,
Mumbai","Website: www.capgemini.com Email:
ashok.bhojwani@in.eyi.com","Specialisation: Package Enabled Re-engineering
(SAP, BAAN, JD Edwards), IT Strategy and Program
Management, Shared Services (Management,
Process & Operations), Business Strategy",,www.capgemini.com,ashok.bhojwani@in.eyi.com
"Care & Cure International
Ltd, New Delhi","Website: www.carecure.com Email:
care@carecure.com","Specialisation: Portal development, software
development & solutions, E-commerce, Printing &
publishing",,www.carecure.com,care@carecure.com
"Cashtech Solutions India Pvt
Ltd, Mumbai","Website: www.cashtech.com Email:
suneel.yadav@cash-tech.com","Specialisation: Cash Management Software
Development, Consultancy and Off-shore services",,www.cashtech.com,suneel.yadav@cash-tech.com
"CA-TCG Software, Pvt. Ltd.,
Calcutta","Website: www.catsglobal.com Email:
RajeevG@catsglobal.co.in","Software Development, Infotech Consultancy,
Management of Infotech Venture Capital",,www.catsglobal.com,RajeevG@catsglobal.co.in
"CCE Software, Bangalore","Website: www.ccesoft.com Email:
ashis@ccesoft.com","Offshore software development, Client server
computing, Business process engineering solutions,
Software package development",,www.ccesoft.com,ashis@ccesoft.com
"CDS International Ltd,
Bangalore","Website: www.cdsil.net Email:
avraghu@vsnl.com","IBM AS400 & Mainframe, E-Commerce Solutions,
Embedded Systems, Convergent Technologies",,www.cdsil.net,avraghu@vsnl.com
