S.No.,Exporter Name,Address,StateName,Phone,Mobile,Email
28,Achal Industries,"190, INDUSTRIAL AREA, BAIKAMPADY,
MANGALORE",Karnataka,2408487,,achalind@gmail.com
29,Sapthsathi Organic Agriculture Project,"#414/5th Floor, Onam Plaza, A.B Road, Old
Palasia, Indore",Madhya Pradesh,,7314061413,sktiwariin2001@gmail.com
30,AGRAWAL OIL & BIOCHEAM,"1307,Sudama Nagar, 60 feet road,indore",Madhya Pradesh,2480123,9425901231,agrawalbiocheam@yahoo.co.in
31,NARAYAN GANESH PRABHU ZANTYE & CO,"Pazwada, Bicholim, Goa",Goa,22362247,9822122390,zantyecashew@gmail.com
32,Kalpvraksh Impex Private Limited,"307, Balrama Bldg., bandra Kurla Complex,
Mumbai",Maharashtra,26592999,9930401721,trading@navjyotintl.com
33,Singell Tea & Agricultural Industries Ltd.,"No. 17, Chowringhee Mansions, 30,
Jawaharlal Nehru Road, Kolkata, India",West Bengal,22299147,,teapromoters@vsnl.net
34,"VIKAS WSP LIMITED,","B 86/87 UDYOG VIHAR, RIICO INDUSTRIAL
AREA, SRIGANGANAGAR",Rajasthan,2494512,9414303215,vikasvegan@yahoo.com
35,Organic Products India,"Row House No. B-8, Himgiri Residency, Near
Sandesh Society, Market Yard, Gultekdi,
Pune",Maharashtra,24272655,9763866464,viralpatel@viralspices.com
36,Morarka organic foods limited,"Vatika Road, Tonk Road, Post - Shri Ram Ki
Nangal, Via - Sitapura, RIICO, Jaipur",Rajasthan,2771100,9414042449,snghyadu@gmail.com
37,Bush Foods Overseas Pvt Ltd.,"505-506, 5th Floor, DLF South Court Saket,
New Delhi.",New Delhi,110001,,bushfood@del6.vsnl.net.in
38,Tea Promoters Exports Pirvate Limited.,"Falta Special Economic Zone, New Industrial
Shed No. 4/4, Sector-II, FSEZ, 24-Parganas
(South), West Bengal, India",West Bengal,22299147,,teapromoters@vsnl.net
39,Sapthsathi Organic Agriculture Project,"414, Fifth floor Onam plaza, Old Palasia, A B
road, Indore,(M.P.) India.",Madhya Pradesh,4061413,9826397992,sktiwariin2001@yahoo.com
40,RAPID OVERSEAS,"407, Baleshwar Avenue, Opp. Rajpath Club,
S.G Highway, Bodakdev, Ahemdabad",Gujarat,26873021,,rapidoverseas@bsnl.in
41,Excel Foods Pvt. Ltd,"PLOT NO 47, KIADB, TARIHAL, HUBLI.",Karnataka,2310432,9448110009,xlfoods@gmail.com
42,Suminter India Organics Pvt. Ltd.,"Indiana House, Makwana Road, Off.
M.V.Road, Marol,Andheri(west), Mumbai.",Maharashtra,400053,,info.suminter@suminter.com
43,Amruta Cashew Industries,"Nath Pai Road, Tal. Vengurla, Dist.
Sindhudurg",Maharashtra,262822,,amrutacashew@yahoo.com
44,Arvind LTD.(AGRIBUSSINESS DIV),"SUKH A-101, RAMI HERITAGE, OPP-RTO
MURTIZAPUR ROAD, AKOLA",Maharashtra,,9922507475,mahesh.r@arvind.in
45,Arvind Ltd. (AGRIBUSINESS DIV),"1st Floor, Rami Heritage, Opp-RTO,
Murtijapur Road, Akola",Maharashtra,,7242450612,pramodawatade@rediffmail.com
46,THIASHOLA PLANTATIONS LIMITED,"Thiashola Estate, Thiashola Post, The Niligiris
- 643230, Tamilnadu, India",Tamil Nadu,509244,,thiashola07@yahoo.com
47,M/S Tea Experts India Private Limited,"35th Creek Row, 1st Floor, Kolkata",West Bengal,3332264440,,schangoiwala@yahoo.com
48,T-classic (Darjeeling) Pvt.Ltd,"2nd Floor, 227, Anandlok AJC Bose
Road,Kolkata, West Bengal.",West Bengal,2330181,9733004577,tclassic2@gmail.com
49,Raghunath Exporters,"5F,Park Plaza, Park Street, Kolkata",West Bengal,22290092,,mohan@rexindia.net
50,Ajanta Industries.,"Plot No.'D' S.No.166/1, APEWAL, PRIOL,
PONDA",Goa,2312553,9860727272,info@organiccashew.com
51,Paras Udhyog,"23/2, Sajan Nagar, Main road, Indore",Madhya Pradesh,2400027,9827265703,parasexports23@gmail.com
52,Okayti Tea Company Limited,"Okayti Tea Estate 4, Chowringee Lane, Suite
5J, Block II, Kolkata",West Bengal,,9733007123,okayti@gmail.com
53,Nature Fresh Exports,"104, Laxmi Leela Tower , 240 Sneh Nagar,
Indore Unit Address: 149, Gram Amona
Devas",Madhya Pradesh,4209577,9826477227,exim@nfeglobal.in
54,Agrawal Overseas,"334/2/4, Agrawal Udhyog nagar, Palda,
Indore",Madhya Pradesh,2400027,9827265703,agrawal11overseas@gmail.com
55,ITC Limited -Agri Business Division,"31, SAROJINI DEVI ROAD SECUNDERABAD",Andhra Pradesh,27803401,9908524996,mukund.kale@itc.in
56,Aryan International,"D-184, Freedom Fighters Enclave Neb Sarai,
New Delhi",New Delhi,29536611,,info@aryanint.com
57,Kaj Traders,"P-21,Sukhliya, Near Bapat Choraha,Indore-
4203362",Madhya Pradesh,,8878630300,info@kajtraders.com
58,LITTLE BEE IMPEX,"Village Mallipur, G. T. Road. Doraha,
Ludhiana Punjab, India",Punjab,,9.20E+11,shrigopal.agarwal@littlebeeimpex.com
59,Foods and Inns Limited,"Dulwich Mansion, 3rd Floor,224, Tardeo
Road, Tardeo, Mumbai.",Maharashtra,23533104,9820397988,utsav@foodsandinns.com
60,M/S. K. MANIBHAI & Co,"M/S. K. MANIBHAI &Co 21,R. N Mukherjee
Road, 2nd Floor,Kolkata",West Bengal,"2,23,12,04,82,24,81,740",,kmanibhai@gmail.com
61,Sresta Natural Bioproducts Pvt. Ltd.,"203 Pavani Annexe, Road No 2, Banjara Hills,
Hyderabad , Andhra Pradesh.",Andhra Pradesh,500009,9959777163,prasad.yss@sresta.com
62,Sresta Natural Bio Products Pvt. Ltd. - Vellore,"H-No-8-2-468/A/1/22nd and 3rd floor, Road
no-5, Lane Opp GVK Mall, Beside Auto Form
Office, Banjara Hill, Hyderabad",Andhra Pradesh,40072527,9701736744,nirupama.r@sresta.com
63,INDIAN FLAME ENTERPRISES,"48, Bengali Colony, Kanadia Road, Indore",Madhya Pradesh,2591801,9098777717,indianflame.indore@gmail.com
64,"MAHARISHI AYURVEDA PRODUCTS PVT
LIMITED","Plot 17, 18, Noida Special Economic Zone,
Noida - 210305",New Delhi,3043800,,mapl@gmail.com
65,Accura Organic Foods,"402, Shilp Square B Opp. Himalaya Mega
Mall, Drive-in road, Ahmedabad",Gujarat,,9825303366,deepak@accuragroup.in
66,Sunstar Overseas Ltd. Udaynagar,"At Post Udaynagar Dewas, Madhyapradesh",Madhya Pradesh,3366335,9215849991,mukeshsharma@sunstarmail.com
67,Mother India Farms,"GEM WELLINGTON FLAT F-1,5TH FLOOR
MURGESHA PALYA OLD AIRPORT ROAD
KODIHALLI ,BANGALORE",Karnataka,25210225,9538866002,durairaj@earthendelight.com
68,ECOFARMS (INDIA) LIMITED,"Survey No.8/3 Dorli Dolamba, Nagpur Bypass
Road, Yavatmal",Maharashtra,242372,9422865705,ecofarms_yml@sancharnet.in
69,Raj Foods International,"1st Floor , Sri Sacchidanand Complex ,
Visnagar Road, Unjha",Gujarat,27499613,9825072550,brahma@rajfoods.co.in
70,Balaji Agro International,"10, Princep Street, Kolkata",West Bengal,,,balajiagro.international@yahoo.co.in
71,Organic India Pvt. Ltd.,"Plot No.266,Faizabad road,
Kamta,P.O.Chinhat,Lucknow.",Uttar Pradesh,2701579,9956296635,balram@organicindia.com
72,Sunstar Overseas Ltd. â€“ Cotton Project,"40 KM Stone, G.T Karnal Road, Bahalgarh,
Sonepat.",Haryana,131001,9358181207,organicfoods@sunstarmail.com
73,Wayanad Social Service Society,"PB No. 16, Mananthavady, Wayanad-670645",Kerala,240314,9497820000,wsssorganic@gmail.com
74,Harit Impex,"Khasra No 338/1/1, Rau Pithampur Road
Near Patel Warehouse Sonwaya .",Madhya Pradesh,,9926425031,haritimpex12@gmail.com
75,ZANTYE CASHEW INDUSTRIES,"Pazwada, Bicholim.",Goa,2362247,9423404422,zantyecashew@gmail.com
76,SHREE SANJAY TRADING COMPANY,"A/7 MAJITHIA APARTMENTS, S.V.ROAD,IRLA,
VILE PARLE (WEST), MUMBAI",Maharashtra,"2,37,24,24,32,37,72,890",,admin@cottonin.com
77,Umalaxmi Organics Pvt. Ltd.,"701-702, Siddhartha Complex, Alkapuri ,
Baroda,",Gujarat,390007,,documents@umalaxmi-organics.com
78,PURPLE HILLS AGRO EXPORTS,"Periyakulam road, Genguvarpatty P.O., Theni
district",Tamil Nadu,262469,,purplehillsagroexports@gmail.com
79,"Indian Organic Farmers Producer Company
Limited","Thottumugham P.O,Aluva Ernakulam",Kerala,2620659,9447046353,info@iofpcl.com
80,Sunstar Overseas Ltd. â€“ Cotton Project,"40 KM Stone, G.T Karnal Road, Bahalgarh,
Sonepat.",Haryana,131001,9358181207,organicfoods@sunstarmail.com
81,"STANES AMALGAMATED ESTATES LTD-
WELBECK ESTATE","SAE gardens,3A &B Kamraj Road ,P.O .Box ,
No.3717,Coimbatore",Tamil Nadu,2550677,,imoind@vsnl.com
82,Mudar India Exports,"6-1-744, Kovoor Nagar, Anantapur,",Andhra Pradesh,231233,9393710640,sudheer@mudarindia.com
83,Sunstar Overseas Ltd. â€“ Cotton Project,"40 KM Stone, G.T Karnal Road, Bahalgarh,
Sonepat.",Haryana,131001,9358181207,organicfoods@sunstarmail.com
84,Lion Foods Pvt. Ltd.,"Survey No. 151/1, Plot No.5 Village:
Madhupur, Taluk :
Talala(Gir),District:Junagadh.",Gujarat,296536,8469042329,lion_fv@yahoo.com
85,"Sresta natural Bioproducts Pvt. Ltd.(Fresh
Trop Fruits Ltd.)","H-No-8-2-468/A/1/22nd and 3rd floor, Road
no-5, Lane Opp GVK Mall, Beside Auto Form
Office, Banjara Hill, Hyderabad",Andhra Pradesh,40072526,9959777166,prashanth.tn@sresta.com
86,Hira Cashew Industries,"Vithalapur, Sanquelim, India",Goa,362247,,zantyecashew@gmail.com
87,Excel Foods Pvt. Ltd.,"Plot No 47, Kiadb, Tarihal Industrial Area,
Hubali, Karnataka.",Karnataka,2310341,9448110026,excelfoods@dataone.in
88,ITC LIMITED - AGRI BUSINESS DIVISION,"Thapar House, 3rd Floor, Opp. National Civil
Defence College, Temple Road, Civil Line,
Nagpur.",Maharashtra,27801018,9908524996,mukund.kale@itc.in
89,Castor Products Company,"Plot no 204, Ward 12-C, Gandhidham, Kutch,",Gujarat,653580,,satvik.india@gmail.com
90,EARTHOIL INDIA PVT. LTD,"FIRST FLOOR, 35-N-3-4, NEAR MURTI
BHAWAN, RAMPUR GARDEN, BAREILLY
UTTAR PRADESH (243001)",Uttar Pradesh,,7520395270,manoj.agarwal@eathoil.com
91,Popular Pulse Products Pvt. Ltd.,"The Horizon , Suite No. 311, 11/5, South
Tukoganj, nath Mandir Road, Indore -
452001",Madhya Pradesh,,9826044658,popularpulse@gmail.com
92,Kashmir Kessar Mart,"Munwarabad, Near Azad Filling station,
Srinagar, Jammu &Kashmir",Jammu & Kashmir,2470846,9419002079,n.azad@kkmart.net
93,Darjeeling Agro Tech Pvt.Ltd.,"17-Chowringhee Mansions, 30-Jawaharlal
Nehru Road, Kolkata.",West Bengal,22299147,9830809420,teapromoters@vsnl.net
94,KUSUM INTERNATIONAL,"ORANGE VALLEY TEA ESTATE,12C, LORD
SINHA ROAD, SHYAMKUNJ ,FLAT NO.6D ,
KOLKATA",West Bengal,22822212,,kusumint@bsnl.net.in
95,POABS Group,"Post- Seethargundu, Nelliampathy , Palghat-",Kerala,246554,9447827337,poabs@poabs.com
96,Veetee Fine Foods Limited.,"56-57 Km mile stone,G.T.Karnal
Road,Village:Larsauli, Tehsil: Ganaur, District:
Sonepat.",Haryana,2474501,9896916880,devender@veetee.com
97,Putharjhora Tea Garden Pvt. Ltd.,"No. 17, Chowringhee Mansions, 30,
Jawaharlal Nehru Road, Kolkata",West Bengal,22299147,9830809420,teapromoters@vsnl.net
98,Shri Sumati Oil Industries Private Limited,"40, Sector-C, Industrial Area, Sanwer Road,
Indore",Madhya Pradesh,,9425195703,sumati1106@yahoo.co.in
99,Viral International,"1st Floor, 331, Market Yard, Gultekdi, Pune",Maharashtra,24270900,9763866464,ramesh@viralspices.com
100,Nature Fresh Exports,"104, Laxmi Leela Tower, 240, Sneh Nagar,
Indore",Madhya Pradesh,,9826477227,info@naturefreshexports.com
101,"GEO-FRESH ORGANIC(Cosmetics Raw
Material Unit)","S.T.ROAD, GULAB PARK, SIDHPUR-
384151,DIST.PATAN, GUJARAT",Gujarat,220863,9825290260,info@geo-fresh.com
102,Narendra Tea Company Pvt. Ltd.,"2-A, Ganesh Chandra Avenue, 5th Floor
Kolkata, West bengal.",West Bengal,65481120,,akstea@vsnl.net
103,INDIAN FLAME ENTERPRISES,"48 Bengali Colony, Kanadia Road, Indore",Madhya Pradesh,2591801,9098777717,indianflame.indore@gmail.com
104,Crystal Tea (India) Ltd.,"1/14, TVS Nagar road, Kavundampalayam,
Coimbatore, Tamil nadu",Tamil Nadu,2406382,,crystaltea@gmail.com
105,Sresta Natural Bioproducts Pvt. Ltd.,"No. 203, Pavani Annexe, 8-2-276, Road No.
2, Banjara Hills, Hyderabad",Andhra Pradesh,,9959022735,rahul.mathur@sresta.com
106,Vantage Organic Foods Private Limited,"13/12, Malviya Nagar, Jaipur",Rajasthan,6550121,9799299749,info@vantagetradeservices.com
107,Agronic Food Inc.,"8A-8B, Bhagat Ki Kothi Extn., Behind Climpex
Showroom, Pali Road, Jodhpur",Rajasthan,2721631,9.19E+11,siddharth@agonicfood.com
108,Eco Agri India,"148/25/G, Part B, Industrial
suburb,Yeshwanthpur, Bangalore",Karnataka,64546461,,exports@ecoagri.in
109,Snowview Tea Company Pvt. Ltd.,"No. 17, Chowringhee Mansions, 30,
Jawaharlal Nehru Road, Kolkata, West
Bengal â€“ 700 016, India",West Bengal,22299147,,teapromoters@vsnl.net
110,Dani Foods India,"D 501, Near Auda Garden , Varj Vihar 8,
Surdhara 2 Bunglow Road, Satellite,
Ahmedabad- 380015",Gujarat,,9978999706,chetan@danifoods.com
111,Sarvoday Natural,"Kakoshi Char Rasta, State Highway, Sidhpur -
384151 (Gujarat) India.",Gujarat,2767220949,9982512194,raksarvo@gmail.com
112,The Himalaya Drug Company,"Makali, Tumkur Road, Bangalore.",Karnataka,562123,9980800042,agriculture.dept@himalayahealthcare.com
113,Amalgamated Plantations Private Limited,"Ground Floor,1 Bishop Lefroy Road, Kolkata",West Bengal,22267638,,bishes.bose@amalgamated.in
114,Kastur Pulse Mill,"336/5, Agrawal Udhyog Nagar, Nemawar
Road, Palda, Indore",Madhya Pradesh,2400027,9993795161,kasturpulse@gmail.com
115,M/s Flex Foods Limited,"Lal Tappar Industrial Area, Haridwar Road,
Distt. Dehradun",Uttaranchal,2499262,9897543239,samirffl@yahoo.com
116,Vasundara Sales Corporation,"Golgar, Kesave Post, Koppa,
Chikkamagalaore Dist.",Karnataka,,9448137029,golgar2000@yahoo.com
117,Spectrum International Pvt. Ltd.,"511, 5th Floor, Lotus House, 33-A, New
Marine Line, Mumbai",Maharashtra,252351,9920011269,paresh.tawde@amitgroup.com
118,Araku Originals Limited,"502, Trendset Towers, Road No. 2, Banjara
Hills, Hyderabad",Andhra Pradesh,,,manoj@naandi.org
119,"JABSONS FOODS (A DIV. OF JABSONS
COTTONSEED INDUSTRIES PVT. LTD.","A-2, Bholav Udyog Nagar, Bholav, Bharuch",Gujarat,246727,9377554817,pankaj@jabsons.com
120,"Sresta Natural Bio Products Pvt. Ltd.- Onion
Processing","H.No. 8-2-468/A/1/2, 2nd and 3rd Floor,
Road No.-5, Beside Auto Form Office,
Banjara Hills, Hyderabad",Andhra Pradesh,,9701736744,nirupama.r@sresta.com
121,"Sresta Natural Bioproducts Pvt. Ltd. (Mother
Dairy)","H.No-8-2-468/A/1/2., 2nd and 3rd floor,
Road No-5., Lane Opp: GVK Mall., Behind
Auto form Office., Banjara Hills, Hyderabad",Andhra Pradesh,40072526,9959777166,prashanth.tn@sresta.in
122,Aaha Impex Pvt. Ltd.,"Aaha Impex Pvt. Ltd. 130, Commodity
Exchange Building, 1st Floor, Sector â€“ 19,
Vashi, Navi Mumbai â€“ 400 705,
Maharastra, India",Maharashtra,27831178,9821042471,aahaimpex@mtnl.net.in
123,M/s. BIORE INDIA LIMITED,"5TH MILESTONE, MANDALESHWAR ROAD,
KASRAWAD, KHARGONE (DIST)",Madhya Pradesh,266841,9826623835,biore@sify.com
124,"Kamal & Sons, Sidhpur","Kamal estate, state highway, Sujanpur
crossing, Sidhpur",Gujarat,220441,9825050070,info@kilindia.com
125,VIVEK AGRO PRODUCTS,"PLOT NO-86 ,PO-GANGPUR,TEH-PALSANA,
DISTT-SURAT",Gujarat,263559,9824776138,umesh.ims@gmail.com
126,"KOHINOOR FOODS LTD.,","50-51 Mile Stone, G.T.Karnal Road, Sonepat,
Haryana, India",Haryana,2482456,,manmohan.singh@kohinoorfoods.in
127,CULTIVATOR NATURAL PRODUCTS,"SONAMUKHI NAGAR, SANGARIA FANTA,
SALAWAS ROAD, JODHPUR",Rajasthan,2764931,9414134931,t_prajapati@yahoo.com
128,Kancor Ingredients Limited,"Kancor Road, Angamally South,",Kerala,683573,,l.thomas@kancor.in
129,THE ARYA TEA COMPANY LIMITED,"37,Shakespeare Sarani, 4 th floor, Kolkata",West Bengal,22878635,,taryatea@vsnl.net
130,Green Chem,"""Lakshmi"", 5 BDA, Domlur, 2nd stage, 3rd
phase, Bangalore",Karnataka,25359569,,rajendran@greenchem.biz
131,J.V.Gokal & Co. Pvt. Ltd.,"World Trade Centre,6th floor,14/1B, Ezra
Street,kolkata. Kolkata.",West Bengal,22355015,9836573975,chauhan@jvgokal.com
132,MIRACLE TEA & SPICES CO,"21, R.N. MUKHERJEE ROAD, 2ND FLOOR,
KOLKATA",West Bengal,22312294,9903975929,kkp001@gmail.com
133,R H AGRO OVERSEAS (P) LTD.,"42-43 K.M. STONE, G.T. ROAD, BAHALGARH,
SONEPAT",Haryana,,9896681240,organic@rhagro.com
134,Satguru Organics Pvt. Ltd.,"A-408,Bansi Wala Tower, Agresen Chouraha-
452001",Madhya Pradesh,4041171,9893440000,satguruorganics@gmail.com
135,Organic India Private Limited,"Plot No.266,village kamta, Faizabad Road,
Lucknow",Uttar Pradesh,227105,9956296637,balram@organicindia.com
136,M/s Padmavati Pharmaceuticals,"F-50,52, Industrial Area, Haridwar",Uttaranchal,,9759112124,madanlal.kankaria@padmawatipharma.com
137,P.S.S. Ganesan and Sons,"#C 82-83, Sipcot , Tuticorin",Tamil Nadu,234037,9443150001,herbambrosia@gmail.com
138,TATA COFFEE LIMITED,"57,RAILWAY PARALLEL ROAD KUMARAPARK
WEST, BANGALORE",Karnataka,251411,,hh@tatacoffee.com
139,Eaternal Health & Organic Food Pvt. Ltd.,"B/2, Rustom Baug, S. S. Marg, Byculla,
Mumbai",Maharashtra,65200541,9867245082,danesh@eaternal.com
140,Hill Green Plantations Pvt.Ltd.,"No.17, 13th cross, Vasantnagar East,
Bangalore-560 052, Karnataka, India",Karnataka,22250717,,hillin@airtelmail.in
141,Greenmiller Corporation,"82, Ashok Nagar, Behind Sapna Sangeeta
Cinema, Indore . Unit Address : Chota
Bangarda, Bajrangpura Area, Sanwer Road,
Indore",Madhya Pradesh,,9826477227,supply@greenmiller.com
142,Adarsh Global Private limited,"159, Sajan Nagar, Indore",Madhya Pradesh,,9827044000,adarshindore@gmail.com
143,Allanasons Limited,"Allana House, Allana Road, Colaba, Mumbai",Maharashtra,24327623,,balmaadi@gmail.com
144,"Unilever India Exports Ltd. (Formerly
Hindustan Unilever Limited)","Tea Excellence Centre, 1, Transport Depot
Road, Kolkata",West Bengal,24490550,,sudeep.b@unilever.com
145,GOODRICKE GROUP LIMITED,"Camellia house, 14, Gurusaday Road, Kolkata-
700 019, West Bengal",West Bengal,,9830899282,soumitrabaneerjee@goodricke.com
146,Indraprasth Foods Ltd.,"147, Tukoganj Road, Dewas-455001 (M.P.)",Madhya Pradesh,290050,9926300003,info@indraprasthfoodsltd.in
147,KRBL Limited,"5190,Lahori Gate, Delhi",New Delhi,110006,,organic@krblindia.com
148,S.K.Tiwari Consultancy Services,"414, 5th floor , Onam Plaza, Old Palasia, A.B.
Road, Indore-452001(M.P) India.",Madhya Pradesh,4061413,,sktiwariin2001@yahoo.com
149,Darjeeling Impex Limited.,"HMP House, Ground Floor, 4, Fairlie Place.
Kolkata.",West Bengal,22310268,9831036890,info@darjeelingimpex.com
150,Umalaxmi Organics Pvt. Ltd.,"701-702, Siddharth Complex, Alkapuri, R.C.
Dutt Road, Baroda",Gujarat,336684,9898230001,deepakumalaxmi@gmail.com
151,"KANAN DEVAN HILLS PLANTATIONS
COMPANY PRIVATE LTD","KDHP House, Munnar - 685612, Kerala, India",Kerala,5230561,,hudson.jb@kdphtea.co.in
152,Kastur Pulse Mill,"336/5, Agrawal Udhyog Nagar, Nemawar
Road, Palda, Indore",Madhya Pradesh,,9425060013,kasturpulse@gmail.com
153,Ajanta Industries,"P.B.No.51, Apewal, Priol, Ponda",Goa,403401,,info@organiccashew.com
154,R.C. Enterprise,"P.O. Box 55, State High Way, Unjha, Gujarat",Gujarat,,9825070217,info@rcenterpriseindia.com
155,Satnam Organics,"17-A , Kitchlu Nagar,Near Dhami Eye
Hospital Ludhiana ,Punjab",Punjab,,9592185800,admin@satnamorganics.com
156,Eurovanille India Private Limited,"Vadakkipapalyam Road, R.Ponnapuram,
Polllachi, dist-Coimbatore, Tamil Nadu, India.",Tamil Nadu,261693,,eurovanilla@rediffmail.com
157,Mother Herbs Pvt. Ltd.,"B-6, Sector 8.Noida, Uttar Pradesh",Uttar Pradesh,3916600,9313324338,rahul@motherherbs.com
158,Pioneer Chicory,"Block No.78-79, Anand - Sojitra Road, Village-
Ravipura, Dist-Anand, Gujarat",Gujarat,258138,9724501104,pagalakumar@sify.com
159,Chopda Foods & Spices,"211, Samta Nagar, Palda Gram, Indore",Madhya Pradesh,,9827533311,vitalvishwas@gmail.com
160,M/s.Ambo Exports LimiTed,"3,Pretoria Street, St. Chandrakunj, 2nd
Floor,Suite 2D, Kolkata",West Bengal,22821125,9435031097,binod57@yahoo.com
161,M/s Amir Chand Jagdish Kumar (Exports) Ltd.,"Jind Road, Safidon, Distt. Jind",Haryana,27834570,9761680190,jmd@aeroplanerice.com
162,Sri Mata Bio Source,"Raja Rajeshwari Nagar, Bangalore - 560098",Karnataka,28486262,,murali@smbiosource.com
163,Richabel Bio Foods (India) Private Limited,"1/741, Ashisha Mangalath, Satellite
Township. Kakkanad West Kochi, Kerala",Kerala,,9847023605,richabelfds@gmail.com
164,EXCELSIOR TRADERS,"9 EZRA STREET, KOLKATA:",West Bengal,22253949,9903042131,ajaydhir1@gmail.com
165,Sunstar Overseas Ltd. â€“ Cotton Project,"40 KM Stone, G.T Karnal Road, Bahalgarh,
Sonepat.",Haryana,131001,9358181207,organicfoods@sunstarmail.com
166,M/s Benevolent Tradex Pvt Ltd.,"E-481 New Ashok Nagar Near New Ashok
Nagar Thana, Mayur Vihar Phase - I",New Delhi,,9891969549,info@benevolentltd.com
