Sl NO,Company Name,Email Id,Contact Person
66,K. Subraya Anantha Kamath &,sounbsraya1945@gmail.com,Shri. K. Giridhara Kamath
67,K. Subraya Anantha Kamath &,kosnaskamath@rediffmail.com,Shri. K. Sudhakara Kamath
68,Kailas Cashew Exports,kailascashew@yahoo.com / info@kailascas,Sehwr.i.c oPm. Somarajan
69,Kairali Exports,kairaliexport@gmail.com / mail@prasanthic,Ssheriw G.c. oRmaveendran Pillai
70,Kalbavi Cashews,kalbavicashews@rediffmail.com,Shri. Kalbavi Prakash Rao
71,Kanachur Cashews,kanachur@hotmail.com,U.K. Monu
72,Kanchana Industries,kvs_kamath@yahoo.com,Mr. K. Jayarama Kamath
73,Kanya Kumari Exports Pvt. Ltd.,kanyakumariexport@gmail.com,Mr. K. Nirmalan
74,Kerala Nut Food Co.,knf@vsnl.com,"Shri. Dr. Unnikrishnan S.,"
75,Kerala State Cashew Workers,cpaepxex@sancharnet.in /cashewcapex@redif,mSahirli..c Rom. Jayachandran
76,Krishnagiri Cashew Epxorts,krishnagiricashew@gmail.com,Girish Kumar
77,Krishnan Food Processors,kgnmail@vsnl.net / cashewnut@vsnl.com,Shri. G. Krishnan Nair
78,Kumar Agro Products,kumaragro1999@gmail.com,Mr. A. Kiran Kumar Kodgi
79,Kumar Cashew Enterprises,kumarcashewenterprises@gmail.com,Mr. Satheeshkumar
80,Kumar Cashew Exports,kumarcahsewexports@gmail.com,Shri. N. Satheesh Kumar
81,Kumbukattu Cashews,kumbukadan@gmail.com,Mr. Alex M. Kumbukadan
82,Lakshman & Co.,lakshman.co@gmail.com,Shri. Prabhakar Konath
83,Lekshmi Cashew Company,lekshmicashewcompany,Reghu Kumar . T
84,Lourdes Matha Cashew Industr,elosurdescashew@yahoo.in,Shri. Jobrun G. Varghese
85,M. Abdul Rehuman Kunju,markcashew@dataone.in,Shri. M. Abdul Rehuman Kunju
86,M. Madhavaraya Prabhu,mmpcashews@sify.com,Shri M. Tukaram Prabhu
87,Mac Cashews,maccashews@gmail.com,Mr. Mohammed Khuraish
88,Mahavishnu Cashew Factory,mahavishnucashews@gmail.com,Shri. Renjit Lal S. Kurup
89,Malar International,info@malar.co.in,Shri. R. Ezhilarasan
90,Malnad Cashews,malnadcashew@gmail.com,Mr. H. Nagaraj Shetty
91,Mangalath Cashews,mcknlr@gmail.com / tomklm@yahoo.com,Shri. S. Saji
92,Mangalath Enterprises,mangalthsathyan@sify.com / mangalathent,rSphrirsi.e Ss@athgymaa Dioemvan.R
93,Mass Cashews,masscashews@gmail.com,Mr. Salim. A
95,Milleneum Exports & Imports,millenium08@gmail.com,A. Younus Kunju
96,Mount Moria Cashews,mountmoriacashews@gmail.com,Manoj. K
97,Najeem Cashew Industries,najeemcashew@rediffmail.com,Shri. S. Nejimudeen
98,Narayan Ganesh Prabhu Zanty,z &an Ctyoecashew@gmail.com / snpzantye@g,Saihl.rci.o Rmohit U.P. Zantye
99,Nisha Traders,b.nisha2k@rediffmail.com / kaavery_1997,rSehdriif.f mKa. iBl.acoramthi Daasan
100,Noble Cashew Industries,noblecashewklm@gmail.com,Shri. Jacob C. Luke
101,N.S. Cashews,arckollam@gmail.com / srikollam@gmail.co,Smt. Niza S
102,N.S.C. Company,rafeekalfanoos@gmail.com,Mr. Rafeek S
103,Nut Products Company,vlc@vsnl.com,Smt. Preetha S. Nair
104,Olam Agro India Ltd,narayanan.r@olamnet.com,Shri. Narayanan R
105,Peniel Cashew Co,penielcashew@gmail.com,Shri. Job G Oommen
106,PJS Overseas Limited,export@pjsoverseas.com,Mr. Pawan Kumar Jain
107,Prakash Exports,vlc@vsnl.com,Shri. R Prakash
108,Prasanthi Cashew Co.,prasnathicashew@gmail.com / mail@prasa,Sthhicria.Ts hDe wA.nctomny
109,Prasanthi Cashew Pvt. Ltd.,mail@prasanthicashew.com,Shri B. Mohanachandran Nair
110,Pratap Cashew Co. Ltd.,vlc@vsnl.com,Shri. R. Pratap
111,Pratipa Cashews,pratipacashews@rediffmail.com / ramkii@p,aSthiprai.c Mas. hReawmsa.ckorimshnan
112,Quilon Foods Private Limited,quilonfoodspvtltd@gmail.com,Shri Parameswaran Bharathan
113,Radha International,crp_cashew@yahoo.com,Shri. C.R. Selvamani
114,Radhika Cashews,info@radhikacashew.com,B. Rajendra Kini
115,Rafeek Cashew Company,rafeekshanucashew@gmail.com,Mr. N. Sainulabdeen
116,Rajeswari International,crp_cashews@yahoo.com,Smt. R. Tamilselvi
117,Rajkumar Impex (P) Ltd,info@rajkumarimpex.in / rajkumar@rajkum,rSimhrpi.e Rx.ainjkumar
118,RCN Impex Private Limited,rcnimpex@gmail.com,Shri A. Arunraj
119,Regin Exports,reginexports@yahoo.com,Smt. T. Anichandrakala
120,Reliable Cashew Company Pvt,Lretdliablecashew@dataone.in,Shri K.P. Jayakrishnan Nair
121,River Green Exports,rivergreenexports@gmail.com,Shri Tampu. S
122,Roy Cashew Products,roy_cashew@yahoo.com,Shri. K. Roy
123,Royal Food Exporters,nowfal@royalfoodexporters.com / tastynut,Srehdriif.f mS.a Mil.cuohmammad Nowfal
124,S R Cashews,srcashews@yahoo.com,S R Sreemurukan
126,Sadha Exports,sadhaexports@gmail.com,Mr. Santhosh Kumar Ayyappan Pillai
127,Sai Export Enterprises,mail@prasanthi.com,G. Raveendran Pillai
128,Sai Lekshmi Cashew Company,poornachandraklm@gmail.com,Ms. R. Jalajakumari Amma
129,Sai Lekshmi Foods,poornachandra@bsnl.in,Shri. N. Krishnan Kutty
130,Saira Naima Exports,sairanaimaexports@gmail.com,S Mohammed Shajahan Musaliar
131,Sakthi International,sakthiinternationall@gmail.com,C.S. Thirugnana Sambandam
132,Sanoor Cashew,adarsh_sanoor@vnsl.com,Shri. N. Ganesh Kamath
133,Santhosh Cashews,santhoshcashew@rediffmail.com / santhos,cSahsrhi.e Swa@ntghmosahil .Dco'Smilva
134,Saravana International,crp_cashews@yahoo.com /kalai_mathai@,oStmhrai.i lC.c.oRm. Devanathan
135,SBRM Exports,rams050570@gmail.com,Mr. R. Ramasamy
136,Seagul Nuts N Spices,seagulnutsnspices@gmail.com,S. Prasad
137,Sealand Cashew,sealandcashew@gmail.com,Surendran.S
138,Sealand Cashew Exports,sealandexports@gmail.com,Sarju S.
139,Seetha International,crpcashews@gmail.com,Shri. C.R. Sakthivel
140,Selve Cashews,selvecashews@gmail.com,R. Kalaiselvi
141,Shafi Cashew Industries,shaficashew@rediffmail.com,Shri. S. Shafi Musaliar
142,Shastha Enterprises,shasthaqln@yahoo.co.in,Shri. N. Nanda Kumar
143,Shree Dhanalakshmi Cashew,xdphoarntsalaxmi_cashew@yahoo.co.in,Shri. K. Shripathi Bhat
144,Shree Vinayaka Exports,shree.vin.exports@gmail.com,Mr. H. Sudhir Nayak
145,Siva Foods Impex Pvt Ltd,sivacashew@yahoo.com,Mr. G. Sivakumar
146,Skylight Trading,noushad@skylightgroups.com,Mr. Abdul Majeed Noushad
147,S.N. Cashews,sncashews@yahoo.in,Salim I
148,Souparnika Export Enterprises,raju@africaproducts.co.uk,"Shri. G. Vasantha Kumar (Raju),"
149,South Kerala Cashew Exporter,skcesalam@yahoo.com / skcsalam@sify.co,Shri. A.A. Salam
150,Southern Cashew Exporters,southerncashew@live.com,Shri. M. Shamsudheen
151,Sree Ayyappa Cashews,sreeayyapacashew@gmail.com,Mr. Sajimon
152,Sree Durga Cashew Factory,sreedurgacashew@gmail.com,Shri Pradeep D. Nair
153,Sreedevi Cashew Industries,sridevikrk@gmail.com/sreedevicashew@g,aMilr..c Gomanesh Kamath
154,Sreelekshmi Cashew Company,sundaran99@yahoo.co.uk,Shri. P. Sundaran
155,Sri Gayathri Cashews,srigayathri@ymail.com,Sri T.R.V.S. Ramesh
157,Sri Sirnivas Industries,vinyakprabhu1973@gmail.com,M.Vinayak Prabhu
158,Srinivasa Cashews,srinivasaptr@vsnl.net.in / srinivascashews,Sgmhrai.i lN.c.o Mmalarvasagam
159,S.S. Cashew Exports,s.s.cashewexports@gmail.com,P. Sundaran
160,St. Annes Cashew Industries,indianafoods@sify.com,Shri Jose G. Oommen
161,St. George Foods,stgeorgefoods@yahoo.com,Shri. Dr.Jobson G Varghese
162,St. Gregorios Cashew Industrie,stgregorioscashew@yahoo.com / jobson_v,Syharhi.o Joo.hconmson G. Oommen
163,St. John's Cashew Company,,Shri Sajan. P.Y.
164,St. Mary's Cashew Factory,smcf1@sify.com / jaisongoommen@yahoo.,oS.hinri. Jaison G Oommen
165,St. Nicholas Cashew Exports,Bijujohnnallila@gmail.com,Shri Y. Rajan
166,St. Paul's Cashew Factory,stpaulscashew@gmail.com,Shri. James G Oommen
167,Sunfood Corporation,vlc@vsnl.com,Shri. R. Pratap
168,Supreme Cashew Industries,markcashew@dataone.in,Shri. A. Hamsa
169,Swathini Cashews,swathinicashews@gmail.com,Mr.N. Prasangamani
170,Swayamprabha Udyam & Co.,info@swayamprabhaudyam.com,Mr. B. Ajith Kamath
171,Tara Exports,,Mr. Narayan Bharathan
172,Tasty Nut Industries,royalnowfal@rediffmail.com / tastynut@redi,fSmharil.. cSo. mMuhammed Nowfal
173,Thampuran Cashews,thampurancashew@gmail.com,Shri. Pepsin Raj
174,The Kerala State Cashew Dev,lohpom@ecnats Cheowrpcoorraptoiorna tLiotn.com,Shri. Dr.K.A. Ratheesh
175,The State Trading Corporation,sf tIcnidnidai aL@tdvsnl.net / stckochi@bsnl.in,S.N. Kumar
176,TKM Agro Limited,tkmagrolimited@vsnl.net,Shri. T.K. Shahal Hassan Musaliar
177,T.R. Venkatachalam Chetty,trvcashewexports@rediffmail.com,Shri. T.R.V.S. Sriramesh
178,Veekay PVC Profiles,veekaycashew@gmail.com,Shri Valerian Lobo
179,Vijay International,vijaycashews@gmail.com,Shri C. Manivannan
180,Vijayalaxmi Cashew Co.,vlc@vsnl.com,Shri. K. Ravindranathan Nair
181,Vinayaka Cashew Company,mail@prasanthi.com,"Shri. G. Raveendran Pillai,"
182,Visudira Impex Pvt. Ltd.,visudiraimpex@gmail.com,Shri Loganayagam S.
183,Vittal Cashew Industries,sales@vittalcashew.com,Shri. H. Santhosh Kamath
184,Vivekananda Cashew Factory,ajr-alex@yahoo.co.in,Ajex Ittycheria
185,Vizag Exports,,Shri G. Raveendran Pillai
186,Western India Cashew Co. Pvt,mtdail@wenders.com / hari@wenders.com,Shri. Harikrishnan R. Nair
32,Calvary Cashew Company,calvarycashewcompany@gmail.com,Mr. Bovus Raju
63,John's Cashew Company,jcckollam@gmail.com,Shri. Binu John
94,M.G. Enterprises,gokulmggokulmg@yahoo.co.in,Shri. K. Gopalakrishnan
125,S.A. Cashews,sacashew6111@gmail.com,Mr. Sabeer. S
156,Sri Mahaganapathi Cashew Ind,gsatrnieshtoi@gmail.com/ganesh@amgcashe,Ms.rc. oPm. Ganesh Kamath
