13,GOHEL EXPORTS ,"Krishna, Ghanshyam Plot, Street No.7, Veraval, Gujarat",9228875177,gohelexports@yahoo.com,www.gohelexports.com,"GU1/ME/189/11 22/09/2011 
21/09/2023",Frozen,"Frozen:Fish Wild(FROZEN RIBBON FISH,FROZEN CROAKER FISH,Frozen Sole Fish,Frozen Reef cod Whole,Frozen Katti Fish,Frozen Cuttlefish Whole,Frozen Tuna,Frozen Horse Mackerel,Frozen Yellow Tail Scad,Frozen Cat Fish,Frozen Mahi Mahi,Frozen EEL Fish,Frozen Indian Mackerel,Frozen Bombay Duck,Frozen Squid Whole,Frozen Japanese Threadfin Bream,Frozen Kawa fish,Frozen Leather Jacket,Frozen Shad Fish,Frozen Sting Ray,Frozen Hilsa Fish,Frozen Black Sea Bream,Frozen Barracuda,Frozen Lady Fish,Frozen Lizard Fish,Frozen Emperor,Frozen Dorab Fish,Frozen Octopus)"
14,HALAL EXPORTS ,"PLOT NO-104/A,G.I.D.C ESTATE.
VERAVAL,GIR 
SOMNATH,GUJARAT, Gujarat",9624795601,halal.document@gmail.com,,"GU1/ME/323/17 25/09/2017 
24/09/2023",Frozen,"Frozen:Fish Wild(FROZEN RIBBON FISH,FROZEN SOLE 
FISH,RIBBON CROAKER FISH,FROZEN OCTOPUS FISH,FROZEN SQUID FISH,FROZEN EEL FISH,FROZEN CAT FISH,FROZEN MAHI MAHI,FROZEN QUEEN FISH,FROZEN CUTTLE FISH,FROZEN LOBSTER,FROZEN SEA WHITE,FROZEN TUNA FISH,FROZEN MACKEREL FISH,FROZEN REEFCOD FISH,FROZEN LEATHER JACKET FISH,FROZEN SHRIMP)"
15,HAMMAD FROZEN FOODS ZAVERI BAZAR ,"VERAVAL, Gujarat",9099022506,hammadfrozenfoods@gmail.com,,"GU1/ME/319/17 06/07/2017 
05/07/2023",Frozen,
16,HANNAN EXPORTS ,"DURVESH MANZIL 
OPP. KHUSHBU 
APARTMENT SHAHIGARA COLONY VERAVAL/362265, Gujarat",9898596961,hannanexports2019@gmail.com,,"GU1/ME/357/19 13/08/2019 
12/08/2022",Frozen,"Frozen:Fish Wild(FROZEN RIBBON FISH,FROZEN SOLE 
FISH,RIBBON CROAKER FISH,FROZEN OCTOPUS FISH,FROZEN SQUID FISH,FROZEN EEL FISH,FROZEN CAT FISH,FROZEN MAHI MAHI,FROZEN QUEEN FISH,FROZEN CUTTLE FISH,FROZEN LOBSTER,FROZEN SEA WHITE,FROZEN TUNA FISH,FROZEN MACKEREL FISH,FROZEN REEFCOD FISH,FROZEN LEATHER JACKET FISH)"
17,HASNAIN SEA FOOD ,"SHAHIGARA COLONY NEAR MAHEK SCHOOL VERAVAL-362265/362265, Gujarat",9727414384,hasnainseafood2018@gmail.com,,"GU1/ME/363/19 23/10/2019 
22/10/2025",Dried,
18,HLN ENTERPRISES ,"B-113, Vivekanand Society, Opp. G.I.D.C. Estate, 
Somnath Road, Veraval-
362268, Gujarat",2876232288,,,"GU1/ME/151/09 11/09/2009 
09/09/2021",Frozen,
19,I K FOODS ,"VESTERN FOODS KHARAKUVA 
VERAVAL, Gujarat",9601087302,ikfood14@gmail.com,,"GU1/ME/299/16 21/07/2016 
20/07/2025",Frozen,"Frozen:Fish Wild(FROZEN RIBBON FISH,FROZEN SOLE 
FISH,FROZEN CROAKER FISH,FROZEN OCTOPUS FISH,FROZEN SQUID FISH,FROZEN EEL FISH,FROZEN CAT FISH,FROZEN MAHI MAHI,FROZEN QUEEN FISH,FROZEN CUTTLE FISH,FROZEN LOBSTER,FROZEN SEA WHITE,FROZEN TUNA FISH,FROZEN MACKEREL FISH,FROZEN REEFCOD,FROZEN LEATHER JACKET FISH,FROZEN SILVER POMFRET,FROZEN HORSE 
MACKEREL,FROZEN LIZARD FISH,FROZEN BOMBAY 
DUCK,FROZEN BARRACUDA,FROZEN KINGFISH 
WHOLE,FROZEN CHINESE POMFRET,FROZEN BLACK 
POMFRET,FROZEN SCAD FISH,FROZEN SHAD FISH,FROZEN STING RAY WHOLE,FROZEN DORAB FUSH,FROZEN MOON FISH,FROZEN LEATHER SKIN,FROZEN WHITE SHAD 
FISH,FROZEN IAPANESE THREADFIN BREAM,FROZEN INDIAN MACKEREL)"
20,JAI GAYATRI EXPORT ,"Shree Padvani Krupa,Ratna Deep Society 
Nr.Prathna Hall, 
Bhidiya,Veraval, Gujarat",9898199744,jaigayatriexport@gmail.com,,"GU1/ME/242/13 02/09/2013 
01/09/2022",Frozen,"Frozen:Fish Wild(FROZEN RIBBON FISH,FROZEN SILVER CROKAER,FROZEN YELLOW CROAKER,FROZEN SOLE FISH,FROZEN LEATHER JACKET FISH,FROZEN CUTTLE FISH,FROZEN SQUID,FROZEN REEF COD,FROZEN FISH)"
"21
",KAIF SEA FOOD ,"SAHIN COLONY 
PRABHAS PATAN 
VERAVAL/362268, Gujarat
",9275017428,kaif.documents18@gmail.com,,"GU1/ME/340/18 31/10/2018 
30/10/2024
","Frozen
","Frozen:Fish Wild(Frozen:Fish Wild(FROZEN RIBBON FISH, FROZEN YELLOW,CROAKER,,FROZEN SILVER CROAKER,,FROZEN 
LEATHER JACKET,,FROZEN INDIAN MACKEREL,,FROZEN HORSE MACKEREL,,FROZEN SOLE FISH,,FROZEN YELLOW FIN 
TUNA,,FROZEN BONITO TUNA,,FROZEN SKIP JACK 
TUNA,,FROZEN LONG TAIL TUNA,,FROZEN MAHI MAHI 
FISH,,FROZEN SILVER POMFRET,,FROZEN BLACK 
POMFRET,,FROZEN EEL FISH,,FROZEN LIZARD FISH,,FROZEN BARRACUDA FISH,FROZEN KING FISH,,FROZEN PINK 
SNAPPER,,FROZEN JapaneseThreadfinBream,FROZEN REEF 
COD,,FROZEN STING RAY, FROZEN CHINESE POMFRET,,,FROZEN SEER FISH, FROZEN LITTLE TUNNY,,,FROZEN KING MACKEREL, FROZEN BULL EYE,,FROZEN BIG EYE TUNA, FROZEN 
SNAPPER,,,FROZEN LONG 
SPINEGROUPER,FROZENTHORNYCHEEKGROUPER,FROZEN TIGER TOOTH CROAKER, FROZEN BLACKSEA BREAM,,FROZEN YELLOWTAIL SCAD, FROZEN SCAD,,FROZEN QUEEN 
FISH,FROZEN SPOTTED CAT FISH,,FROZEN GIANT CAT FISH, FROZEN INDIAN OIL SARDINE,,,FROZEN HILSA FISH,FROZEN HALIBUT,,,FROZEN BOMBAY DUCK, FROZEN SWORD
"
,,,,,,,,"
FISH,,,FROZEN GREY MULLET,,FROZEN KARIKADI 
SHRIMP,,FROZEN INDIAN WHITE PRAWN,,,FROZEN BLACK TIGER PRAWN, FROZEN FLOWER PRAWN,,FROZEN PACIFIC WHITE SHRIMP, FROZEN FLOWER PRAWN,,FROZEN PINK SHRIMP, FROZEN SAND SHRIMP,,,FROZEN SQUID, FROZEN NIDDEL SQUID,FROZEN SQUID WHOLE CLEANED,FROZEN CUTTLEFISH WHOLE ,,FROZEN CUTTLEFISH WHOLE 
CLEANED,FROZEN OCTOPUSH WHOLE ,,FROZEN OCTOPUSH WHOLE CLEANED,FROZEN INDIAN MACKREL FISH,,FROZEN ROCK LOBSTER WHOLE/TAIL)"
22,"KALASONA INGREDIENTS PLOT NO 7 & 8, NEAR ","DEEPAK FOODS, GIDC 
AREA 
SOMNATH ROAD,BEHIND KRISHNA MALL 
VERAVAL/362269, Gujarat",02876-233157,kalasonaingredients@gmail.com,,"GU1/ME/223/12 09/11/2012 
31/12/2023",Others-Non Edible,Others-Non Edible:Fish Paste/Fish silage (Non- Edible)(SQUID LIVER PASTE)
23,KAMNATH EXPORT Krishna Nagar ,"Sheri No. 5, Kharvavad Veraval, Gujarat",9033533301,kamnathexport@gmail.com,NA,"GU1/ME/338/18 18/09/2018 
17/09/2024",Frozen,
24,KAPILA EXPORTS ,"5, Dev Ashish Building, 1st Floor, 
Bhidiya Plot, Veraval, Gujarat",2876231888,kapila.exports@gmail.com,,"GU1/ME/092/07 24/08/2007 
23/08/2025",Frozen,"Frozen:Fish Wild(FROZEN RIBBON FISH,FROZEN YELLOW 
CROAKER,FROZEN SILVER CROAKER,FROZEN CUTTLE FISH WHOLE,FROZEN SOLE FISH,FROZEN REEF COD,FROZEN SQUID WHOLE,FROZEN SILVER POMFRET,FROZEN CHINESE 
POMFRET,FROZEN SPANISH MACKEREL,FROZEN INDIAN 
MACKEREL,FROZEN HORSE MACKEREL,FROZEN LEATHER JACKET,FROZEN LIZARD FISH,FROZEN BOMBAY DUCK,FROZEN BARRACUDA,FROZEN KINGFISH WHOLE,FROZEN BLACK EEL FISH,FROZEN BLACK SEA-BREAM,FROZEN TUNA FISH,FROZEN CAT FISH,FROZEN LEZARD FISH,FROZEN MAHI MAHI,FROZEN HILSA FISH) 
Frozen:Shrimp Wild(FROZEN SHRIMPS) 
Frozen:Cuttlefish(FROZEN CUTTLEFISH WHOLE) 
Frozen:Squid(FROZEN SQUID WHOLE) 
Frozen:Octopus(FROZEN OCTOPUS WHOLE)"
25,KING FISHING ,"CORPORATION 
PLOT NO. 1203, 1204 
GIDC ESTAE 
VERAVAL/362269, Gujarat",9811600686,kfcvrl2017@gmail.com,NA,"GU1/ME/322/17 07/08/2017 
06/08/2020",Frozen,
26,"KMC MARINE EXPORTS AMINA MENSION, NEAR MADINA MASJID ","SAHIGARA SOCIETY, 
VERAVAL, Gujarat",9924278777,kmcmarineexports2016@gmail.com,-,"GU1/ME/385/22 21/07/2022 
20/07/2025",Frozen,"Frozen:Fish Wild(Frozen:Fish Aquaculture(FROZEN RIBBON 
FISH,FROZEN,FROZEN CROAKER FISH,FROZEN EEL 
FISH,FROZEN INDIAN MACKEREL,FROZEN HORSE 
MACKEREL,FROZEN LOLINGO SQUID WHOLE,FROZEN BABY CUTTLE FISH WHOLE,FROZEN SAIL FISH,FROZEN MERLIN 
FISH,FROZEN LEATHER JACKET FISH WHOLE,FROZEN REEF COD WHOLE,FROZEN GROUPER WHOLE,FROZEN SQUID 
WHOLE,FROZEN SOLE FISH,FROZEN SILVER POMPHRET,FROZEN BLACK POMPHRET,FROZEN KATTI FISH,FROZEN SEER 
FISH,FROZEN JAPANESE THREADFIN BREAM,FROZEN KING FISH,FROZEN BARRACUDA,FROZEN WHITE SNAPPER,FROZEN RED SNAPPER,FROZEN SEA BREAM,FROZEN LIZARD 
FISH,FROZEN QUEEN FISH (LEATHER SKIN),FROZEN RED BULL EYE,FROZEN EMPEROR,FROZEN MAHI MAHI,FROZEN MALABAR TREVALLY,FROZEN BOMBAY DUCK,FROZEN TRIGGER 
FISH,FROZEN SCAD FISH,FROZEN SARDINE,FROZEN LADY FISH,FROZEN MOON FISH,FROZEN OCTOPUS WHOLE,FROZEN SKIP JACK TUNA,FROZEN YELLOW FIN TUNA,FROZEN LONG TAIL TUNA,FROZEN BONITO TUNA,FROZEN CAT FISH,FROZEN DARA FISH,FROZEN TILAPIA,FROZEN STING RAY 
WHOLE,FROZEN DORAB,FROZEN JTB/P,FROZEN PUD 
SHRIMPS,FROZEN INDIAN OIL SARDINE,FROZEN HILSA FISH)"
27,LION FOODS PRIVATE LIMITED ,"1205, TITANIUM ONE NEAR PAKWAN CROSS ROAD, 
S.G. HIGHWAY, 
AHMADABAD, Gujarat",9558233032,info.lionfoods21@gmail.com,-,"GU1/ME/386/22 21/07/2022 
20/07/2025",Frozen,"Frozen:Fish Aquaculture(FROZEN RIBBON FISH,FROZEN CROAKER FISH,FROZEN EEL FISH,FROZEN INDIAN MACKEREL,FROZEN HORSE MACKEREL,FROZEN LOLINGO SQUID WHOLE,FROZEN BABY CUTTLE FISH WHOLE,FROZEN SAIL FISH,FROZEN MERLIN FISH,FROZEN LEATHER JACKET FISH WHOLE,FROZEN REEF COD WHOLE,FROZEN GROUPER WHOLE,FROZEN SQUID 
WHOLE,FROZEN SOLE FISH,FROZEN SILVER POMPHRET,FROZEN BLACK POMPHRET,FROZEN KATTI FISH,FROZEN SEER 
FISH,FROZEN JAPANESE THREADFIN BREAM,FROZEN KING FISH,FROZEN BARRACUDA,FROZEN WHITE SNAPPER,FROZEN RED SNAPPER,FROZEN SEA BREAM,FROZEN LIZARD 
FISH,FROZEN QUEEN FISH (LEATHER SKIN),FROZEN RED BULL EYE,FROZEN EMPEROR,FROZEN MAHI MAHI,FROZEN MALABAR TREVALLY,FROZEN BOMBAY DUCK,FROZEN TRIGGER 
FISH,FROZEN SCAD FISH,FROZEN SARDINE,FROZEN LADY FISH,FROZEN MOON FISH,FROZEN OCTOPUS WHOLE,FROZEN SKIP JACK TUNA,FROZEN YELLOW FIN TUNA,FROZEN LONG TAIL TUNA,FROZEN BONITO TUNA,FROZEN CAT FISH,FROZEN DARA FISH,FROZEN TILAPIA,FROZEN STING RAY 
WHOLE,FROZEN DORAB,FROZEN JTB/P,FROZEN PUD 
SHRIMPS,FROZEN INDIAN OIL SARDINE,FROZEN HILSA FISH)"
,,,,,,,,
"
28","M/S JAMADAR EXPORTS B/H Krishna Mall, Bhidiya","
Veraval-362267, 
Dist. Gir Somnath, Gujarat",9687777633,jamadar96@hotmail.com,,GU1/ME/284/15 02/07/2015 01/07/2024,Frozen,"Frozen:Fish Wild(FROZEN RIBBON FISH,FROZEN CROAKER FISH,FROZEN REEFCOD WHOLE,FROZEN SOLE FISH,FROZEN CUTTLE FISH WHOLE,FROZEN SQUID WHOLE,FROZEN SILVER POMFRET,FROZEN CHINESE POMFRET,FROZEN SPANISH MACKEREL,FROZEN INDIAN MACKEREL,FROZEN HORSE
	
MACKEREL,FROZEN LEATHER JACKET,FROZEN LIZARD 
FISH,FROZEN BOMBAY DUCK,FROZEN BARRACUDA,FROZEN KINGFISH WHOLE,FROZEN EEL FISH,FROZEN CAT FISH,FROZEN BONITO TUNA,FROZEN STING RAY WHOLE,FROZEN JAPANESE THREADFIN BREAM,FROZEN MERLIN FISH,FROZEN REEF COD FILLET)"
29,M/S. ASHA GANGA ,"MARINE 
PLOT NO.309, 
GIDC ESTATE 
VERAVAL/362269, Gujarat",7567901010,ashagangamarine@gmail.com,,"GU1/ME/331/18 18/06/2018 
17/06/2024",Frozen,
30,M/S. BLU MARINE EXPORT Plot No. 308 ,"G.I.D.C.,Estate 
Veraval/362269, Gujarat",9824669436,blumarinexport@gmail.com,-,"GU1/ME/353/19 29/07/2019 
28/07/2025",Frozen,"Frozen:Fish Wild(FROZEN RIBBON FISH,FROZEN CROAKER 
FISH,FROZEN BLACK POMFRET,FROZEN SILVER 
POMFRET,FROZEN HILSA FISH,FROZEN BOMBAY DUCK,FROZEN STING RAY,FROZEN KINGFISH,FROZEN EEL FISH,FROZEN 
BARRACUDA WHOLE ROUND,FROZEN WHITE FISH,FROZEN REEFCOD WHOLE ROUND,FROZEN YELLOW TAIL SCAD,FROZEN INDIAN MACKEREL,FROZEN HORSE MACKEREL,FROZEN 
OCTOPUS WHOLE CLEANED IF,FROZEN SQUID WHOLE 
ROUND,FROZEN CUT SQUID SKIN ON & TENTACLES,FROZEN BABY SQUID WHOLE ROUND,FROZEN CUTTLEFISH WHOLE ROUND,FROZEN BABY CUTTLEFISH)"
31,M/S.GREEN INDIA ,"BEHIND G.I.D.C.,B/H.
SHALIMAR ICE FACTORY Village:-VERAVAL 
VERAVAL-/362269, Gujarat",9974262777,greenindia.document@gmail.com,,"GU1/ME/342/19 04/01/2019 
03/01/2022",Dried,
32,M/S.S.H.EXPORT ,"DURVESH MANZIL, 
SAHIGARA COLONY, 
OPP.: KHUSHBU 
APARTMENT, 
VERAVAL/362265, Gujarat",9558676262,shexports313@gmail.com,,"GU1/ME/372/20 14/08/2020 
13/08/2023",Frozen,
33,MAHI INTERNATIONAL G.I.D.C.,"ESTATE 
VERAVAL, Gujarat",9925221249,mahiinternational.vrl@gmail.com,-,"GU1/ME/351/19 16/07/2019 
15/07/2025",Frozen,"Frozen:Fish Wild(FROZEN RIBBON FISH,FROZEN REEF 
COD,FROZEN CROAKER FISH,FROZEN LEATHER JACKET 
FISH,FROZEN BULL EYE FISH,FROZEN JAPANESE THREADFIN BREAM,FROZEN TIGER TOOTH CROAKER FISH,FROZEN BIG MOUTH CROAKER,FROZEN SOLE FISH,FROZEN BOMBAY 
DUCK,FROZEN TILAPIA FISH,FROZEN BARRACUDA 
FISH,FROZEN BLACK EEL,FROZEN SCAD FISH,FROZEN HORSE MACKEREL,FROEN INDIAN MACKEREL,FROZEN FRINGE SCALE SARDINELLA,FROZEN BLACK SEA BREAM,FROZEN EEL 
FISH,FROZEN STING RAY,FROZEN LIZARD FISH,FROZEN RED SNAPPER,FROZEN EMPEROR,FROZEN SQUID,FROZEN 
OCTOPUS,FROZEN MAHI MAHI,FROZEN SKIP JACK TUNA,FROEN BONITO TUNA,FROZEN YELLOW FIN TUNA)"
34,MINAZ EXPORTS ,"DUVAGIRI SOCIETY,NEAR FALAH MASJID 
ALIBHAI SOCIETY MAIN ROAD 
SOMNATH TAKIES 
AREA,VERAVAL/362265, Gujarat",8238633111,minazexports@gmail.com,,"GU1/ME/350/19 08/07/2019 
07/07/2025",Frozen,"Frozen:Fish Wild(Ribbon Fish,Silver Croaker,Yellow Croaker,Leather jacket,Indian Mackerel,Reef cod,Sole Fish,Lizard Fish,Horse 
Mackerel,Seer Fish,Yellow Tail Scad,Yellow Fin Tuna,Skipjack Tuna,Bonito Tuna) 
Frozen:Squid(Squid Whole,Whole Cleaned Squid,Squid Rings & Tentacles)"
35,NEW BHARAT FOODS ,"AL NISAR, B/H SOMNATH TALKIES 
KOUSAR COLONY, 
VERAVAL/362265, Gujarat",9228116092,nbfoods2014@gmail.com,,"GU1/ME/303/16 30/08/2016 
29/08/2025",Frozen,
36,NISHBAT EXPORTS ,"PRIVATE LIMITED 
Indralok arcade, 1st Floor, 
Shop NO.130 
Talav Gate, 
JUNAGADH/362001, Gujarat",7359403948,nishbatexports@gmail.com,,"GU1/ME/374/21 09/03/2021 
08/03/2024","Dried 
Others-Non Edible",
37,NISHIINDO FOODS PRIVATE LIMITED PLOT NO 3 TO 8 ,"SOMNATH ROAD VERAVAL, Gujarat",2876233158,NISHIINDOFOODS@GMAIL.COM,,"GU1/ME/355/19 13/08/2019 
12/08/2025",Frozen,Frozen:Fish Wild(Frozen Surimi)
38,"PRIME BIO PROTEINS G.I.D.C., PLOT NO.610/1, VERAVAL ","/362269, Gujarat",70166224470,primebiopro@gmail.com,,"GU1/ME/324/17 25/09/2017 
24/09/2020","Dried 
Others-Non Edible",
39,QUALITY EXPORT ,"PLOT NO.103/1,G.I.D.C 
Estate, 
VERAVAL, GIR SOMNATH, /362269, Gujarat",9978062099,qualityexportvrl@gmail.com,,"GU1/ME/392/22 25/10/2022 
24/10/2025",Frozen,
"40
",QUALITY MARINE ,"EXPORTS 
MASTAN 
VILLA,OPP.MEMUNA MASJID,MADINA 
COLONY,NEAR 
SHAHIN
",9228373147,govalmohammed@gmail.com,,"GU1/ME/352/19 16/07/2019 
15/07/2025
","Frozen
","Frozen:Fish Wild(FROZEN RIBBON FISH, FROZEN CROAKER FISH,,FROZEN REEFCOD, FROZEN TUNA FISH, FROZEN SOLE FISH,FROZEN INDIAN MACKEREL, FROZEN GROUPER WHOLE ROUND,FROZEN BLACK SEA BREAM FISH, FROZEN HORSE MACKEREL,FROZEN BOMBAY DUCK WHOLE) 
	"
,,"COLONY,PRABHAS PATAN VERAVAL 
JUNAGADH GUJARAT, 
Gujarat",,,,,,"
Frozen:Cuttlefish(FROZEN CUTTLEFISH WHOLE/WHOLE CLEANED) Frozen:Squid(FROZEN LOLIGO SQUID WHOLE,FROZEN SQUID WHOLE CLEANED)"
41,RAHIMI EXPORTS ,"KHARA KUVA VERAVAL DIST. JUNAGADH 
GUJARAT 362265 
INDIA, Gujarat",287623392,rahimiexports@gmail.com,,"GU1/ME/190/11 22/09/2011 
21/09/2023",Frozen,
42,RANGE DRY FISH ,"NEAR VASILA DRY FISH OPP SHALIMAR ICE 
FACTORY 
VERAVAL/362265, Gujarat",9099965777,rangedryfish@gmail.com,,"GU1/ME/344/19 06/03/2019 
05/03/2022",Dried,
43,RANGE DRY FISH ,"NEAR VASILA DRY FISH OPP SHALIMAR ICE 
FACTORY 
VERAVAL 362265, Gujarat",9099965777,rangedryfish@gmail.com,,"GU1/ME/328/17 28/11/2017 
27/11/2020",Dried,
44,REGENT MARINE ,"INDUSTRIES 
Patan Road, 
Opp. Taj Restaurant, 
GIDC,Veraval, Gujarat",2876231166,regentvrl@gmail.com,,"GU1/ME/008/04 16/12/2004 
09/12/2024",Frozen,"Frozen:Fish Wild(Frozen:Fish Wild(FROZEN RIBBON FISH,FROZEN CROAKER,,FROZEN YELLOW CROAKER,FROZEN SILVER 
CROAKER,FROZEN REEF COD WHOLE,FROZEN INDIAN 
MACKEREL,FROZEN SOLE FISH,FROZEN HORSE 
MACKEREL,FROZEN BLACK SEABREAM,FROZEN GROPUER WHOLE ROUND),Frozen:Cuttlefish(FROZEN CUTTLE FISH, 
IQF,FROZEN CUTTLEFISH WHOLE CLEANED IQF,FROZEN SQUID WHOLE IQF,FROZEN BABY SQUID IQF,FROZEN SQUID TUBE & TENTACLES IQF,FROZEN 
SHRIMPS/HLSO/PUD/PD/PDTO)IQF,Frozen:Octopus(FROZEN BABY OCTOPUS WHOLE,,FROZEN OCTOPUS WHOLE (LONG 
LEG),BLOCK,FROZEN OCTOPUS WHOLE CLEANED,FROZEN OCTOPUS WHOLE CLEANED (TRAY PACK))IQF)"
45,S.S.FOODS ,"PLOT NO.1410, 
Near G.E.B, G.I.D.C.
ESTATE, 
VERAVAL/362269, Gujarat",9825661611,ameensakhiyani@gmail.com,,"GU1/ME/317/17 03/05/2017 
02/05/2020",Dried,
46,SABIR SEA FOODS ,"PLOT NO 1401/02, 
GIDC ESTATE, 
VERVAL/362269, Gujarat",9825661611,ameensakhiyani@gmail.com,,"GU1/ME/314/17 07/03/2017 
06/03/2023",Dried,
