Company Name,Address,Contact Details,Email,Website,Contact Person,Products
DECENT RUGS,"Reporter House, Ghamhapur, Bhadohi -221401,",":, +91-9335975078,, 8115558935, +91-,","ajaz@decentrugs.com, aalim@decentrugs.com",http://www.decentrugs.com,"Ajaz Akhtar Ansari, Aalim Ajaz Ansari","Loom Knotted Carpets, Hand Woven Durries, Hand Woven Carpets, Hand Knotted Carpets, Hand Tufted Carpets"
DESIGNERS' DESIRE,Nai Bazaar,":, +91-9919386777,, 9919914777, +91-9935144711,","info@designersdesire.in, obaid@designersdesire.in",http://www.designersdesire.in,"Obaid Waziri, Adnaan Waziri","Hand-Knotted Perisan/Tibetan, Handwoven, Handloom"
ESSGEE LEATHER GOODS PVT LTD,5/93 Railway Road,":, +91-9936940064,, 6388968214, +91-5692-225557,, 5692-225932","info@essgeeleather.in, info@essgeeleather.com",http://www.essgeeleather.com,Vikas Kumar Gupta,"Leather - Carpets , Cushions , Poufs , Wall Decor"
FORTUNE RUGS,"F-167, Bichhwal Industrial Area",":, +91-9726261000,, +91-,",fortunerugs@gmail.com,Contact Person,Ms. Jyoti Goyal,"Carpets, Rugs And Durries"
GALLERY,"Hanuman Bagh, Aurai Road",":, +91-919839049117,, 8285003417, ,, 9648935117, +91-5414-229440,","galleryofrugs@gmail.com, info@therugsgallery.com",http://www.therugsgallery.com,"Umesh Gupta, Gaurav Gupta, Rohit Gupta",Specially Known For Hand Knotted / Handloom / Indo-Nepal / Dhurries
GOYAL EXPORTS,Daropur Main Road Bhadohi,":, +91-9335723021,, 7007142869, +91-5414-224291,","goyalexportsbdh@gmail.com, tbtcarpets@goyalexports.net",http://www.goyalexports.net,"Ram Gopal Goyal, Ms. Prerna Goyal","Handlooms, Hand-Woven, Indo-Nepalese, Hand-Knotted"
HAMZA RUGS,"By Pass Road , Jamunipur Colony",":, +91-9519217292,, 9621268586, +91-,","kwcarpet@yahoo.com, kwcarpet@yahoo.com",http://www.kwcarpet.com,"Shameem Ahmad, Amin Ahmad","Handknotted , Handtufted , Handloom , Kelim ,"
HARISH INTERNATIONAL,Civil Lines Power House Road,":, +91-9415354057,, 7376847364, +91-7985809619,, 9580929696","harish@harishinternational.com, harishbdh123@gmail.com",http://www.instagram.com/harishinternational/,"Harish Sehgal, Yatharth Sehgal",Handknotted Handloom Handtufted Flatweave
HARSH CARPETS,E-4 Lajpat Nagar-111,":, +91-9999968271,, 9818244919, +91-11-29842777,, 11-29849723","harshcarpets@gmail.com, info@harshcarpets.com",https://harshcarpets.com,"Harsh Gupta, Mayank Gupta","Handmade Handknotted Wool Persian Rugs, Wool Modern Rugs And Other Types Of Carpets Ready In Stock"
HASAN TEPPICH,"Hasan House, Chauri Road",":, +91-9891550000,, 9810610106, +91-,, 9889886000",hasanteppich@gmail.com,http://www.hasanteppich.com,Aamir Hasan,"Moroccon Rugs , Handknotted 3/15 , Handwoven Mats , Wool Dhurry Rugs Handtufted , Handloom , Crochet Rugs, Jute Rugs , Modern Bespoke, Cutom Project Carpet, Special Size Carpets"
IDEAL CARPETS LIMITED,"Raj Nagar, G.T.Road,",":, +91-919956290901,, 917753888251, +91-5414-232444,",idealcarpets@gmail.com,Contact Person,"Sriram Mourya, Kundan Arya","Indian Hand Made/Hand Knotted Carpets, Hand Tufted Carpets"
INDIAN EXPORT HOUSE,"Vill: Mahathua, P.O - Aurai Distt: Bhadohi -221301",":, +91-9839099678,, 9839099665,, 9794446609, +91-,","iexp.tauquir@gmail.com, iexp.rriyaz@gmail.com",Contact Person,"Ishtiaq Ahmad, Tauquir Ahmad","5701,5702,5703,5704 And 5705"
IRFAN CARPET FACTORY,B-148  Lajpat Nagar Part- 1 New Delhi 110024,":, +91-9811809191,, 9811152007, +91-11-29813910,, 11-29810627",irfancarpetfactory@hotmail.com,Contact Person,"Gulam Nabi Bhat, Umar Nabi Bhat","Handmade Handknottedâ Finner Silk With Rangeâ From 24X24 Knots Sq Inch To 60x60 Knote , Handmade Handknotted Kashmir Silk Carpets , Handmade Handknotted Kashmir Silk Cotton Carpets 18x18 Knote Sq Inch , Handmade Handknotted Kashmir Synthatic Carpets 16x"
J.P.EXPORTS,Jangiganj  Bhadohi,":, +91-9935114659,, 9839765099, +91-9140237632,, 8953192988,, 6392184141",j.p.exports2012@gmail.com,Contact Person,"Jagdish Prasad Jaiswal, Awadhesh Kumar Jaiswal, Himanshu Jaiswal, Ayush, Jaiswal, Nitish Jaiswal","Indo-Nain, Kashan Zieglar, Herati, Tabrez Mahi, Gumbad, Bakhtiari ,Modern Rugs , Bokhara & Handwoven Rugs."
JAIPUR RUGS COMPANY PVT LTD,"G-250, Mansarovar Industrial Area",":, +91-9828809444,, 9784003318, +91-141-7103400,, 141-3987400",jaipur@jaipurrugs.com,Contact Person,"Dinesh Choudhary, Sumit Rekhi","Hand Knotted Modern Collection, Hand Tufted, Handloom, Flat Weaves"
JP INTERNATIONAL,70-71 Santosh Sagar Colony,":, +91-9829061191,, 9024805678, +91-,","jpinternationalrugs@gmail.com, dineshvij61191@gmail.com",Contact Person,"Dinesh Vijay, Deepak Vijay","Handknotted Wool,Silk , Silk Wool. Sari Silk, Durrie Etc."
KAANDLA RUGS LTD.,"A1-A2, Epip Zone, Upsidc Industrial Area, Sikandra,",":, +91-9837063284,, 9984600690, +91-562-2640291,",harish@kaandlarugs.com,http://www.kaandlarugs.com,"Harish Baranwal, Tejas Baranwal",Handmade Floor Coverings.
KANU EXPORTS,"18/166, D-1 & E, Fatehabad Road, Tajgang, Agra",":, +91-9837084599,, +91-11-46102000,",info.delhi@kanuexports.com,Contact Person,Ashwani Dhawan,Handknotted Woollen Carpets
KARAN EXPORTS,25/6 Old Vijay Nagar Colony Agar-282004,":, +91-9759208080,, +91-,",karan.ag@gmail.com,Contact Person,Karan Agarwal,Hand Knotted Wool/Silk Carpets And Durrie
KASHMIR ARTS,"11/16, Ground Floor, East Patel Nagar, New Delhi-",":, +91-9810137013,, 9810147557, +91-11-25884390, /, 25885632,, 11-25884631","kashmirarts@hotmail.com, varunsachdev@hotmail.com",Contact Person,"Rajiv Kumar Sachdeva, Varun Sachdeva",Handknotted Carpets
KAY INTERNATIONAL,"Station Road,",":, +91-9839055358,, +91-,",kay@kayinternational.net,http://www.kayinternational.net,"Rashid Qamar Ansari, Rashid Qamar Ansari","Hand Knotted Woolen Carpets, Jute Durries, Polyester Durries, Handloom Carpets, Handloom Kilims"
KMGD OVERSEAS PRIVATE LIMITED,25/6 Old Vijay Nagar Colony Agar-282004,":, +91-9759208080,, +91-,",kmgd.agra@gmail.com,Contact Person,Karan Agarwal,Handknotted Wool/Silk Carpet Durrie
LOOMS & KNOTS,"96 Km Stone, Near Lnt Toll Plaza",":, +91-9053002501,, 98137, 02509, +91-,",ashish@loomsnknots.com,http://www.loomsnknots.com,"Ashish Mehta, Rakesh Kumar","Handloom / Handtufted Carpets, Flatwoven Rugs, Scattered Rugs, Cushions & Poufs Etc."
LUCKY EXPORTS,"Mondh Road, Near Ayodhyapuri Primary School",":, +91-919935042782,, 919935162775, +91-,",luckyexp@gmail.com,Contact Person,Shyam Narain Yadav,Hand Knotted Woollen Carpets Hand Woven Viscose Carpets
MABOOD INTERNATIONAL,Quazipur Road,":, +91-9838501646,, 9838072639, +91-,","rahman@maboodinternational.in, info@maboodinternational.in",http://www.maboodinternational.com,"Abdul Rahman Ansari, Atif Ahsan","Cotton Durry, Woollen Durry, Hand Knotted Carpets, Jute Durry, Recycle Product, Handloom Carpet & Durry, Table Tuff Carpet, Cushion, Pouf, Throw"
MALABAR CARPET EXPORTS,"Mahboobpur, By Pass Road",":, +91-9838822575,, 9415221890, +91-,","info@malabarcarpets.com, malabarcarpets@yahoo.com",http://www.malabarcarpets.com,Samrendra Singh,"Hand Knotted, Hand Tufted, Hand Woven Woollen, Viscose, Recycled Yarn Carpets And Kilims."
MANGAL CARPETS,"Aniruddhapur, Pashchimpatti, Chetganj Khamaria,",":, +91-917081244803,, 918853940800, +91-915414243282,","mangalcarpets@gmail.com, mangalcarpetsofficial@gmail.com",http://mangalcarpets.com,"Sujit Kumar Singh, Sandeep Kumar Singh",Handmade Carpet/Rugs
MARUTI TRADES,Flat 28 Vijayshree Apt 23 Old Vijay Nagar Colony,":, +91-9634236149,, 8279863935, +91-,","maruti_trades@yahoo.com, prateek162917@gmail.com",Contact Person,"Prateek Garg, Ms Shivali Mittal",Hand Knotted Woollen Carpets
MAYA RUGS & HOME,"3, Daya Nagar",":, +91-7351145908,, +91-,",mayarugsandhome@gmail.com,Contact Person,Ram Shubhankar Sharma,Handknotted Wool Pile Carpets Handknotted Wool/Silk Pile Carpets Handknotted Silk Pile Carpets
MAYA TRADES,"32, Hari Nagar",":, +91-9837053866,, +91-,",mayagra@gmail.com,Contact Person,"Ram Darshan Sharma, Ram Shubhankar Sharma",Handknotted Wool Pile Carpets Handknotted Silk Pile Carpets Handmade Flatweaves
NARAYAN CARPETS,"Mirzapur Road, Gopiganj",":, +91-9415270491,, +91-,",narayancarpets@gmail.com,Contact Person,Divya Pushp Agrawal,Handknoted Woolen Carpets Printed Carpets
NATRAJ RUG EMPORIUM,G. T. Road Jangiganj Bhadohi,":, +91-9935770358,, 9519752111, +91-5414-234893,","natrajrugs@gmail.com, classiccarpet@gmail.com",Contact Person,"Dharmendra Maurya, Nagendra Kumar","Hand Knotted Woolen Carept Handknotted Turkish Carpet, Oushak Carpet."
NAVKAR HOME,"A-286, Igc Khara, Bikaner, Rajasthan, India",":, +91-9414217720,, 9829211382, +91-1522-260260,",info@navkarhome.com,https://www.navkarhome.com/,"Naveen Surana, Naresh Solanki",Carpets
NEELKANTH OVERSEAS,1/6 East Patel Nagar,":, +91-9899703034,, 9811009709, +91-11-45092593,, 11-47500446","neelkanthrugs@gmail.com, neetaneelkanth@gmail.com",Contact Person,"Sunir Sachdev, Sudhir Kumar Sachdeva","Floor Covering Hand Knotted Woollen Carpets,"
NOOR CARPET COMPANY,Main Road Maryadpatti  Bhadohi,":, +91-9889771544,, 9919036776, +91-5414-224453,",noorcarpet08@gmail.com,Contact Person,"Noorul Salam  Khan, Tabish Khan",Hand Knotted Carpet
NUPUR CARPETS,1 Bhera Enclave,":, +91-9891110022,, 9999997754, +91-9891110022,","nupurcarpets.delhi@gmail.com, nupurcarpets.delhi@gmail.com",Contact Person,"Mohit Jain, Vipul Jain",All Kind Of Carpets & Floor Coverings
OLD AGRA CREATIONS,"68, Sector 3, Vibhav Nagar",":, +91-9837073223,, +91-9837073223,","oacrug@gmail.com, rdariwala@gmail.com",http://oacrug.com,"Rajat Agarwal, Rajat Agarwal",Hand Knotted Woollen Carpets / Handloom Durries / Rag Rugs
ORIENT PALACE,"Civil Lines,",":, +91-9919836999,, 9918200745, +91-5414-225391,",orient159@gmail.com,http://www.bokharapalace.in,"Anas Shamim, Tarim Shamim","Hand Knotted Woolen & Viscose Carpets, Hand Woven Woolen & Viscose Carpets, Hand Tufted Woolen & Viscose Carpets"
PAYAL INTERNATIONAL LTD.,645-646 Udyog Vihar Phase V,":, +91-9810038891,, 9810038892, +91-124-4001375,, 124-4001376",645payal@gmail.com,Contact Person,"Akash Mittal, Badal Mittal","Hand Knotted Silk/Silk Carpets, Silk Carpet,Staple Carpet,Woollen Carpet & All Kind Durry (Kilims)"
PERSIAN RUG MANUFACTURERS,"Shiv Nagar, G.T. Road, Gopiganj",":, +91-9415295984,, 9044444068, +91-,","info@prm.co.in, office@prm.co.in",http://www.prm.co.in,"Shobh Nath Gupta, Saurabh Gupta","Dhurries & Killims, Luribafts Hand Knotted Rugs, Veg Dyed Irani Rugs, Modern Ganga Handknotted Rugs, Tribal Lurilooms, Modern Gabbeh Handloom, Artloom Printed Rugs,"
POBJI EMPORIUM,"Agp / Xiii 147 , Thumpolly Po",":, +91-9946045321,, +91-,, 478-2865066","info@pobji.com, juby@pobji.com",http://www.pobji.com,"Juby George, Christy","Jute Rugs , Coir Mats , Coir Rugs"
PRABHA INTERNATIONAL,"Plot No.37 , Sector 25, Part 2, Huda",":, +91-9811370374,, 9899767090, +91-180-3550701,",fibrefloors@gmail.com,https://www.prabhahome.com/,"Amit Aggarwal, Abhinav Aggarwal","Hand Loomed , Hand Tufted, Hand Woven Rugs And Broad Loom Rolls"
PRASAD CARPET & CO.,"Khamaria- 22106, Bhadohi",":, +91-9839001351,, +91-7007619981,, 9839001351",prasadcarpet12@gmail.com,Contact Person,"R.S.Maurya, Akhilesh Shukla","Handmade Wollen ,Silk,Bamboo Carpets"
PRASAD CARPET INTERNATIONAL,Khamaria,":, +91-9839001325,, +91-,",prasadcarpet1@gmail.com,http://www.prasadcarpet.com,Ashok K. Maurya,"Hand Knotted Modern, Hand Knotted Traditional, Hand Knotted Wool And Silk, Hand Loom, Jacquard Hand Loom, Hand Tufted"
PREM EXPORT,Tiuri Maharajgang G.T. Road,":, +91-9450254402,, +91-8172882332,",premexport2013@gmail.com,Contact Person,"Prem Nath Singh, Ankit Kumar Singh",Hand Knotted Woollen Carpet
RADIANT RUGS,Katra Bazar,":, +91-9415286524,, 9721878797, +91-,","radiantrugs1@gmail.com, radiantrugs@yahoo.com",Contact Person,"Akram Ali, Mayank Jaiswal, Moinuddin, Waseem, Mahil","Hand-Knotted, Loom Knotted, Kilims"
RAHMAN EXPORTS,"Ghosia, P.O. Aurai",":, +91-9452300935,, 8604416350, +91-9415203882,",rahmanexport@gmail.com,Contact Person,"Azizur Rahman, Shakil Ur Rahman","Hand Knotted Indo Nepal Carpets, Hand Knotted Carpets, Hand Tufted Carpets & Hand Loom Carpets, Specialized In Custom & Bespoke Rugs And Carpets"
RAINBOW EXPORTS,"Gupta House , Main Road",":, +91-9335733853,, 9335733935, +91-,",rainex.gupta@gmail.com,Contact Person,"Uma Shanker Gupta, Rajiv Shanker Gupta","Hand Knotted Carpets, Hand Loom Carpets, Hand Tufted Carpets & Nepali Carpets"
RAMAN EXPORT,"60 Bansal Nagar , Fatehabad Road",":, +91-9627824442,, +91-562-4064173,",santoraman@gmail.com,Contact Person,Saurabh Maheshwari,Hand Knotted Wool & Viscose Carpets
RARE RUGS PRODUCTION,Kashichak Khamaria,":, +91-9984193057,, 9450384474, +91-,","info@rarerugs.in, rarerugz@gmail.com",http://rarerugs.in,"Farhaad, Irshad","Hand Knitted Woollen , Silk, Viscose"
RIZWAN RUGS,"Khamaria, Bhadohi",":, +91-9935453778,, 9839580423, +91-,",rizwanrugs@gmail.com,Contact Person,Mohd. Ahsan,"Hand Tufted, Handloom, Knotted"
RUGS MUSEUM,Civil Lines Road,":, +91-9415336799,, 8303138011, +91-8303138011,","rugsmuseum@gmail.com, rugsmuseum@gmail.com",http://www.rugsmuseum.in,"Ashish Keshari, Raju Keshari",Indian Hand Knotted Carpets Indian Handloom Carpets Sumack Durry
RUGS OVERSEAS,"F-213/D,  M.B. Road",":, +91-9810068513,, +91-11-43570561,",rugsoverseas@gmail.com,http://www.rugsoverseas.com,B.R. Malhotra,Hand-Knotted Carpets
RUGS PALACE,"Nai Basti , Bandwa Road",":, +91-7275671120,, 9307836680, +91-,","rugspalace@gmail.com, info@rugspalace.com",http://www.rugspalace.com,"Tanveer Akhtar, Sharique","Indian Hand Knotted,Persian Knots,Loom Knotted,Handloom,Hand Woven,Hand Tufted,Flat Weave Etc."
RUPESH KUMAR AND SONS,Opposite Carpet City,":, +91-7607948090,, 9792801999, +91-,","info@rkscarpets.com, pratyush@rkscarpets.com",Contact Person,"Pratyush Baranwal, Namit Baranwal",Indian Hand Knotted Woollen Carpets Indian Hand Tufted Woollen Carpets Indian Handwoven Woollen Duries Indian Hand Knotted Viscose Carpets Indian Hand Knotted Sumak Carpets
S. R. CONCEPTS,"68, Sector 3, Vibhav Nagar",":, +91-9837087419,, +91-9837073223,","agarwal.sanjay63@gmail.com, rdariwala@gmail.com",Contact Person,"Sanjay Agarwal, Rajat Agarwal","Hand Knotted Woollen Carpets, Handloom Durries."
S.U.RUGS,Peerkhanpur Road,":, +91-9919364781,, 9919549333, +91-5414-356033,","surugs566@gmail.com, surugs.bhadohi@gmail.com",http://www.surugs.com,"Mohd Akbar Asif, Mohd Aasif",Handwoven Rugs Handknotted Rugs Handtufted Rugs Handloom Rugs
SALWAN EXPORTS,"Ghosia, P.O. Aurai, Distt. Bhadohi-221301, U.P. India",":, +91-9990886548,, 8652066658, +91-,","salwanexports@gmail.com, salwanexports@gmail.com",Contact Person,"Ataur Rahman, Mohammad Jishan",Indian Hand Tufted Carpets
SALWAN RUG INDUSTRIES,"Ghosia, P.O. Aurai",":, +91-9452300935,, 8604416350, +91-9415203882,",salwan.rug@gmail.com,Contact Person,"Azizur Rahman, Shakil Ur Rahman","Hand Knotted Indo Nepal Carpets, Hand Knotted Carpets, Hand Tufted Carpets & Hand Loom Carpets, Specialized In Custom & Bespoke Rugs And Carpets"
SARASWATII GLOBAL PRIVATE LIMITED,"3, Amer Road, Ramgarh Mode, Jal Mahal Shankar",":, +91-9001098315,, 9414071801, +91-141-2671890,, 8003293521","krishan@saraswatiglobal.com, mkcjaipur@gmail.com",https://www.saraswatiglobal.com/,"Krishan Sharma, Shatrudhan Sharma","Hand Knotted Carpet, Tufted Carpet, Handloom Carpet, Jute Carpet"
SATYAM RUGS EMPORIUM,"G.T. Road , Natawa",":, +91-9935398805,, 9415221980, +91-,","manishrugs@gmail.com, info@manishrugs.org.in",http://www.manishrugs.in,"Manish Kumar Baranwal, Ashish Kumar Baranwal","57011010, 57019090, 57019031, 57023210"
SBZ RUGS,"Hamidullah Building, Peerkhanpur Road",":, +91-9415225406,, +91-9415225406,","sbzrugs@gmail.com, sbzrugs@gmail.com",http://www.sbzrugs.weebly.com,"Ashfaq A. Ansari, Shahla Ashfaq","Handknotted , Handtufted , Handloom Carpets Flatwaeve , Druggets & Dhurries , Shutle Dhurries Etc. Of Different Texture Wool , Silk , Cotton & Jute Etc."
SEHGAL RUGS,"Civil Lines , Power House Road",":, +91-919140882927,, 916394980105, +91-,","harishbdh123@gmail.com, sehgalrugs@gmail.com",Contact Person,"Tarun Sehgal, Madhav Sehgal","Hand-Knotted, Hand-Loom, Hand-Tufted, Flat Weave, Silk Carpets."
SHAAD BROTHERS,"Quazipur, Near Badi Masjid, Ansari Rugs Bazaar",":, +91-9838780022,, 8587828381, +91-9839211815,",info@shaadbrothers.com,http://www.shaadbrothers.com,"Shahid Ansari, Sharique Salam",Moroccan Rugs
SHALINI KREATION,Station Road,":, +91-9839211815,, 8303509101, +91-,, 8303509101","abhishek@shalinikreation.com, baranwalabhishek2110@gmail.com",http://www.shalinikreation.com,"Abhishek Baranwal, Neha Baranwal",Indian Hand Knotted Woollen Carpets Kilims
SHAMSHI EXPORTS,"136,Alampur",":, +91-9839225493,, +91-,",shamshiexpo@gmail.com,http://www.shamshiexports.com,Auwal Ansari,Hamd Made Woollen Carpets
SHAMSI COLLECTIONS,"Pure Rahim Khan, Alampur Bhadohi",":, +91-9839143993,, +91-562-2251244,","shamsicollections@gmail.com, shamsicollections@gmail.com",Contact Person,"Mohammad Shadab Husain, Mohammad Shadab Husain",Handknotted Woven Woolen And Artsilk Carpets.
SHREE RAM CARPETS,33/42 Adarsh Nagar,":, +91-8755655557,, 9412750292, +91-,","shreeramcarpets@yahoo.com, yogeshgoyal1974@gmail.com",http://www.shreeramcarpets.com,Yogesh Goyal,Handknotted Carpets
SHRESTHA ENTERPRISES,B-28 Gopal Vihar Nandpuri,":, +91-9829021586,, +91-,",shrestha.enterprises@yahoo.in,Contact Person,Kendra Vijayvargiya,Hand Knotted Silk/Wool Carpet
SHREYA CARPETS,"Main Road, Maryadpatti",":, +91-8795959591,, 8299650076, +91-5414-356234,","shreyacarpets4@gmail.com, shreyacarpets8@gmail.com",http://www.shreyacarpets.com,"Brijesh Kumar Singh, Aquib Javed","Indian Handtufted Wool & Silk Carpets, Indian Handknotted Quality I.E.3/20, Indian Hanknotted Quality I.E. 10/34 And Also Dhurry"
SIMNANI CARPETS,Poore Noor Islam Mustaf,":, +91-9415268656,, +91-542-2370433,, 5414-224766",simnanicarpets@hotmail.com,Contact Person,Ajwar Mahmood,Manufacturer & Exporter Of Indian Hand Made Woolen Silk & Jute Rugs
