10,AMAR AQUATIC (A UNIT OF AMAR ,"POLYFILS PVT.LTD) Survey No.62 
Village Vanana, 
PORBANDAR, Gujarat",02862222440,amarpolyfils@gmail.com,,"GU3/MT/002/15 14/04/2015 
26/05/2023",Others-Edible,
11,AMAR FOOD ,"PRODUCTS 
Jawar 
Naka 
PORBANDAR, Gujarat",02862242501,aspl@pesca.co.in,,"GU3/MT/067/19 18/04/2019 
17/04/2025",Frozen,Frozen:Fish Wild(Surimi ( Fish Minced Paste))
12,AMARSAGAR ,"SEAFOODS 
PVT.LTD., 
Survey No.29, Jawar 
Naka, 
PORBANDAR, Gujarat",02862214700,aspl@pesca.co.in,,"GU3/MT/035/15 14/04/2015 
25/09/2025",Frozen,"Frozen:Fish Wild(Ribbonfish whole,Ribbonfish chunks,Pomfret 
whole,Kingfish whole,Tuna whole,Snapper whole,Surimi ( Fish minced paste)) 
Frozen:Cuttlefish(Cuttlefish whole cleaned,Cuttlefish Fillet,Cuttlefish strips) 
Frozen:Squid(Squid whole,Squid whole cleaned,Squid strips,Squid fillet,Squid ring) 
Frozen:Octopus(Octpus whole cleaned) 
Frozen:Lobster(Lobster whole) 
Frozen:Crab(Crab whole,Crab cut)"
13,AMRUT COLD ,"STORAGE PVT. LTD.
Javar naka, 
PORBANDAR, Gujarat",02876232100,amrutvrl@gmail.com,,"GU3/MT/044/15 14/04/2015 
09/12/2025",Frozen,"Frozen:Fish Wild(Silver Pomfret,Chinese Pomfret,Black 
Pomfret,Croaker,Snappers,Solefish,Kingfish,Seabream,Ribbonfish,Leather Jacket) 
Frozen:Cuttlefish(Cuttlefish Whole,Cuttlefish Whole Cleaned 
IQF/Block/Tray pack,Cuttlefish Fillet,Cuttlefish Skewers,Cuttlefish Roe,Cuttlefish Strips/Tentacles Blanched IQF) 
Frozen:Squid(Squid Whole Block/IQF/Tray pack,Squid Whole Cleaned IQF/Block/Tray pack,Squid Whole Cut IQF,Squid Tubes & 
Tentacles,Squid Rings and Tentacles Blanched IQF,Squid Stuffed 
IQF,Squid Fillet) 
Frozen:Octopus(Octopus Whole,Octopus Whole Cleaned IQF/Block/Tray pack,Octopus Cut Blanched IQF)"
14,DHANANI FROZEN FOODS ,"ON DWARKA OKHA STATE HIGHWAY 
NO. 25 
VILLAGE : 
VARVALA, 
DWARKA, Gujarat",9824287631,dhanani.frozenfoods@gmail.com,-,"GU3/MT/079/21 16/09/2021 
15/09/2024",Frozen,
15,"FAISAL SEA FOODS GIDC PHASE -2, ","PLOT NO. 83, 
VILLAGE : 
ARAMBHADA, 
TALUKA: 
KHAMBHADIA 
S.O. MITHAPUR, HO : JAMNAGAR, Gujarat",9998898375,faisalseafoods@gmail.com,,"GU3/MT/075/20 23/12/2020 
22/12/2023",Dried,
tps://e-,H. M. MEMON & SONS,mpeda.nic.in/registra,,,,d_New.aspx?O,ffId=36&O,ffice=SRD%20Porbandar&Categ=ExporterOT Page 2 of 8
"nline R
16",egistration System - M,"102, DHAVAL 
COMMERCIAL 
CENTRE 
NR. CHHATHI BARI BHUJ, KUTCH, 
Gujarat",02832251185,hmmemonexp@yahoo.com,N/A,"GU3/MT/061/17 29/11/2017 
28/11/2023",Dried,"08/02/23, 2:40 AM"
17,HIND AQUATIC ,"S.NO.1070.,JAKHU DARADVADH 
ROAD,JAKHU 
TA.ABDASA-
KUTCH, Gujarat",9920514359,hindaquatic@yahoo.com,,"GU3/MT/074/20 21/12/2020 
20/12/2023","Others-Non 
Edible",
18,HIRAVATI MARINE ,"PRODUCTS 
PVT.LTD., 
Jawar Naka, 
PORBANDAR, Gujarat",02866541172,porbandar@hiravati.com,,"GU3/MT/036/15 14/04/2015 
05/08/2023",Frozen,"Frozen:Fish Wild(Ribbonfish whole,Pomfret Whole,Kingfish 
Whole,Snapper Whole) 
Frozen:Shrimp Wild(Shrimps HL White,Shrimps HL Brown,Shrimps HL Pink,Shrimps HL Karikadi,Shrimps HL Tiny) 
Frozen:Cuttlefish(Cuttelfish Whole,Cuttlefish Whole Cleaned) 
Frozen:Squid(Squid whole,Squid whole cleaned) 
Frozen:Lobster(Lobster whole) 
Frozen:Crab(Crab whole,Crab cut)"
"19
tps://e-",K.R.SEAFOODS ,"SubhashNagar, 
PORBANDAR, Gujarat
mpeda.nic.in/registra",0286-2246430,"krseafoods@gmail.com
tion/Rpt_Region_Wise_Exporters_Detaile",,"GU3/MT/007/15 14/04/2015 
03/01/2026
d_New.aspx?O","Frozen
ffId=36&O","Frozen:Fish Wild(FROZEN BABY GHOL (IWP),FROZEN KOOTH FILLET (IQF),FROZEN KOOTH FILLETS SKINLESS BONELESS (IQF),FROZEN HL/TL/GUTTED GHOL (IWP),FROZEN 
HL/TL/GUTTED KOOTH (IWP),FROZEN GROUPER FILLET 
(IQF),FROZEN HEAD ON / GUTTED GROUPER (IQF/IWP),FROZEN HEAD ON GROUPER (IQF/IWP),FROZEN HEAD ON / GUTTED KING FISH (IWP),FROZEN MAHI-MAHI STEAKS (IQF),FROZEN KING FISH STEAKS (IQF),FROZEN KING FISH STEAKS VACUUM PACK,FROZEN RIBBON FISH CHUNKS (IQF),FROZEN RIBBON FISH WHOLE (IWP),FROZEN RIBBON FISH WHOLE,FROZEN PANREADY CROAKER (IQF),FROZEN SILVER CROAKER,FROZEN SEA EEL WHOLE ROUND,FROZEN SILVER POMFRET 
(IQF/IWP),FROZEN HEAD ON / GUTTED MAHI-MAHI 
(IWP),FROZEN BARRACUDA WHOLE,FROZEN BLACK POMFRET (IQF/IWP),FROZEN INDIAN MACKEREL,FROZEN GROUPER FINGER CUT (IQF)) 
Frozen:Shrimp Wild(FROZEN BLANCHED PUD SHRIMPS 
(IQF),FROZEN BLANCHED PD SHRIMPS (IQF),FROZEN PUD SHRIMPS BLOCK,FROZEN RAW PD TAIL-ON SHRIMPS 
(IQF),FROZEN RAW HEADLESS SHELL ON SHRIMPS 
(IQF),FROZEN RAW HEADLESS SHELL ON SHRIMPS 
BLOCK,FROZEN PD SHRIMPS BLOCK) 
Frozen:Shrimp Aquaculture(FROZEN BLANCHED PUD SHRIMPS (IQF),FROZEN BLANCHED PD SHRIMPS (IQF),FROZEN PUD SHRIMPS BLOCK,FROZEN RAW PD TAIL-ON SHRIMPS 
(IQF),FROZEN RAW HEADLESS SHELL ON SHRIMPS 
(IQF),FROZEN RAW HEADLESS SHELL ON SHRIMPS 
BLOCK,FROZEN PD SHRIMPS BLOCK) 
Frozen:Cuttlefish(FROZEN CUTTLE FISH WHOLE CLEANED 
(IQF),FROZEN BLANCHED CUTTLE FISH STRIPS (IQF),FROZEN BLANCHED CUTTLE FISH TENTACLES (IQF,FROZEN BABY CUTTLE FISH WHOLE CLEANED (IQF),FROZEN CUTTLE FISH ROLL (IQF),FROZEN CUTTLE FISH PINEAPPLE CUT 
(IQF),FROZEN BLANCHED SEA FOOD MIX (IQF),FROZEN 
BLANCHED MARINARA MIX (IQF),FROZEN CUTTLE FISH 
STRIPS (IQF),FROZEN CUTTLE FISH TENTACLES (IQF),FROZEN CUTTLE FISH WHOLE CLEANED (TRAY PACK),FROZEN CUTTLE FISH WHOLE CLEANED VACUUM TRAY PACK,FROZEN CUTTLE FISH WHOLE CLEANED BLOCK,FROZEN CUTTLE FISH WHOLE (IQF),FROZEN CUTTLE FISH WHOLE BLOCK,FROZEN CUTTLE FISH ROE (IQF),FROZEN CUTTLE FISH FILLET (IQF),FROZEN CUTTLE FISH FILLET BLOCK,FROZEN CUTTLE FISH ROE 
BLOCK,FROZEN CUTTLE FISH WHOLE CLEANED SKEWERS (IQF),FROZEN CUTTLE FISH WINGS BLOCK,FROZEN CUTTLE FISH INK BLOCK) 
Frozen:Squid(FROZEN SQUID WHOLE CLEANED (IQF),FROZEN SQUID WHOLE CLEANED BLOCK,FROZEN SQUID WHOLE 
CLEANED TRAY PACK,FROZEN SQUID WHOLE CLEANED 
VACUUM TRAY PACK,FROZEN STUFFED SQUID WHOLE 
CLEANED (IQF),FROZEN SQUID TUBES (IQF),FROZEN 
BLANCHED SQUID TUBES (IQF),FROZEN SQUID TUBES 
BLOCK,FROZEN SQUID WHOLE CLEANED BUTTER FLY CUT (IQF),FROZEN SEAFOOD MIX SKEWERS (IQF),FROZEN SQUID TUBES & SQUID TENTACLES,FROZEN SQUID WHOLE 
(IQF),FROZEN SQUID WHOLE BLOCK,FROZEN BABY SQUID WHOLE BLOCK,FROZEN SQUID WHOLE TRAY PACK,FROZEN BABY SQUID WHOLE BLOCK WITH TRAY PACK,FROZEN BABY SQUID PIN BONE OUT (IQF),FROZEN BABY SQUID PIN BONE OUT TRAY PACK,FROZEN BABY SQUID WHOLE (IQF),FROZEN BLANCHED SQUID RINGS (IQF),FROZEN SQUID RINGS 
(IQF),FROZEN SQUID RINGS BLOCK,FROZEN BLANCHED SQUID RINGS BROKEN (IQF),FROZEN BLANCHED SQUID RINGS 
&TENTACLES (IQF),FROZEN RAW SQUID RINGS &TENTACLES (IQF),FROZEN BLANCHED SKIN-ON SQUID RINGS (IQF),FROZEN RAW SKIN-ON SQUID RINGS (IQF),FROZEN RAW SKIN-ON
ffice=SRD%20Porbandar&Categ=ExporterOT 	Page 3 of 8"
nline R,egistration System - M,,,,,,,"08/02/23, 2:40 AM
SQUID RINGS & TENTACLES (IQF),FROZEN BLANCHED MARINARA MIX (IQF),FROZEN BLANCHED SEA FOODS MIX (IQF),FROZEN BLANCHED SQUID STRIPS (IQF),FROZEN BLANCHED SQUID TENTACLES (IQF),FROZEN SQUID 
TENTACLES (IQF),FROZEN SQUID TENTACLES BLOCK) Frozen:Octopus(FROZEN OCTOPUS WHOLE CLEANED 
(IQF),FROZEN BLANCHED CHOPPED OCTOPUS (IQF),FROZEN OCTOPUS WHOLE CLEANED TRAY PACK,FROZEN OCTOPUS WHOLE CLEANED VACUUM TRAY PACK)"
20,KAN VICTUAL PVT LTD ,"All Weather Port Road, Bokhira, 
PORBANDAR, Gujarat",02866451092,"kanfoods@gmail.com,kaanexports@gmail.com",,"GU3/MT/010/15 14/04/2015 
21/05/2023",Frozen,"Frozen:Fish Wild(FROZEN SURIMI LIKE ITOYORI, ESO, MIX FISH etc.,FROZEN FIN FISH LIKE RIBBON, CROAKER, SOLE, 
ETC,FROZEN FIN FISH LIKE MAKEREL, SEER FISH,TUNA ETC) Frozen:Shrimp Wild(FROZEN SHRIMPS LIKE TINY, BROWN, 
WHITE, FLOWER ETC) 
Frozen:Cuttlefish(FROZEN /IQF CUTTLEFISH WHOLE,FROZEN /IQF CUTTLEFISH WHOLE CLEANED,FROZEN/ IQF CUTTLEFISH TENTECLES,FROZEN/IQF CUTTLEFISH FILLET) 
Frozen:Squid(FROZEN /IQF SQUID WHOLE,FROZEN IQF SQUID WHOLE CLEANED,FROZEN/ IQF SQUID TENTECLES,FROZEN /IQF SQUID RING)"
21,M/S KALP SEA ,"FOODS 
Jawarnaka, 
PORBANDAR, Gujarat",0286-2215845,mhodar21@gmail.com,,"GU3/MT/027/15 14/04/2015 
14/01/2024",Dried,
22,NAVRANG SEA ,"FOOD 
Plot No. 206-207 
GIDC, Vanana 
Tal. Ranavav, Dist.: Porbandar, Gujarat",09725204973,navrangseafood@gmail.com,,"GU3/MT/051/15 09/10/2015 
08/10/2024",Frozen,"Frozen:Fish Wild(RIBBON FISH,CAT FISH,GAINT MARINE CAT FISH,INDIAN OIL SARDINE,DEEP BODIED SARDINELLA,ILLISA ILLISA,INDIAN HALIBUT,SOLE,BARRACUDA,INDIAN GOAT FISH,DARK BAND GOAT FISH,INDIAN SALMON,BOMBAY 
DUCK,SEA BASS,LONG SPINE SEA BREAM,JAPANESE 
THREADFIN BREAM,EMPORER BREAM,SPADE FISH,GREY MULLET,INDIAN DOG SHARK,WHITE CHEEKED SHARK,BLACK TIP SHARK,SILVER POMFRET,CHINESE POMFRET,BLACK 
POMFRET,INDIAN MACKEREL,SEER FISH,SEER FISH (SPOTTED SPANISH MACKERAL),BLACK KING FISH,LITTLE 
TUNNY,YELLOWFIN TUNA,BIG EYE TUNA,SKIP JACK 
TUNA,SNAPPER,BLOOD RED SNAPPER,BLACK SPOT 
SNAPPER,EMPORER RED SNAPPER,TIGER PERCH,REEF 
COD,CROAKER,CROAKER (ATROBUEEA 
NIBE),CROAKER(SCIAENA ANEUS),TIGER TOOTHED 
CROAKER,BLOTCHED CROAKER,DRAB 
CROAKER,GHOL,HORSE MACKERAL,SCAD,LEATHER 
SKIN,MALABAR TREVALLY,TREVALLY /PARAVA,BLACK 
BANDED TREVALLY,INDIAN CONGER EEL,LIZARD FISH) 
Frozen:Shrimp Wild(WHITE PRAWN,TIGER PRAWN,FLOWER PRAWN,PINK SHRIMP,BROWN SHRIMP,KING PRAWN,MARINE SHRIMP,JAWALA) 
Frozen:Cuttlefish(CUTTLE FISH,CUTTLE FISH WHOLE,CUTTLE FISH WHOLE CLEANED) 
Frozen:Squid(SQUID (LOLIGO DUVAUCELII),SQUID 
(DORYTEUTHIS SIBOGAE)) 
Frozen:Octopus(OCTOPUS,OCTOPUS WHOLE,OCTOPUS WHOLE CLEANED) 
Frozen:Lobster(SAND LOBSTER,ROCK LOBSTER(PANULIRUS PLOYHAGUS),ROCK LOBSTER(PANULIRUS ORANTUS),ROCK LOBSTER(PANULIRUS HOMARUS),DEEP SEA LOBSTER) 
Frozen:Crab(MUD CRAB,SEA CRAB (PORTUNUS 
SANGUINOLENTUS),SEA CRAB(PORTUNUS PELAGIEUS),SEA CRAB(CHARYBDIS CRUCIATA))"
23,"NILESH SEA FOODS Opp. Birlas Villa, ","Chowpati Road, 
PORBANDAR., 
Gujarat",02862213192,nileshseafoods@gmail.com,,"GU3/MT/013/15 14/04/2015 
29/12/2024",Frozen,"Frozen:Fish Wild(Ribbon fish, silver pomfret, croaker,snaper whole, king fish whole,sea bream) 
Frozen:Cuttlefish(CUTTLE FISH WHOLE,CUTTLE FISH WHOLE CLEANED,CUTTLE FISH TRAY PACK) 
Frozen:Squid(SQUID WHOLE,SQUID WHOLE CLEANED,CUT SQUID)"
24,NJORD SEAFOODS ,"PRIVATE LIMITED 
Plot No 
83,GIDC,Vanana 
PORBANDAR, Gujarat",8866222488,njordseafoods@gmail.com,www.njordseafoods.com,"GU3/MT/003/15 14/04/2015 
21/09/2023",Frozen Chilled,
tps://e-,PANBROS IMPEX PVT.LTD.,"NEAR NEW FISH
mpeda.nic.in/registra","912862242042
tion/Rpt_Region_Wise_Exporters_Detaile",,,"GU3/MT/030/15
d_New.aspx?O","Frozen
ffId=36&O","Frozen:Fish Wild(Frozen Ribbon Fish Whole,Frozen Croaker Fish 
Whole,Frozen Bombay Duck Whole,Frozen Bombay Duck HLTL 
Gutted,Frozen Lizard Fish Whole,Frozen Cat Fish Whole,Frozen King Fish Whole,Frozen Redbelly Reef cod Whole,Frozen Seer Fish 
Whole,Frozen Red Snapper Whole,Frozen Indian Mackerel Whole,Frozen Horse Mackerel Whole,Frozen Yellow tail Scad fish Whole,Frozen Sting Ray Fish Whole,Frozen Sardine Fish Whole,Frozen Conger Eel Fish Whole,Frozen Sea Bream Fish Whole,Frozen Japanese Thread fin Fish Whole,Frozen Mahi Mahi Fish Whole,Frozen Halibut Fish Whole,Frozen Sole Fish Whole,Frozen Black Pomfret Fish Whole) 
Frozen:Cuttlefish(Frozen CuttleFish Whole) 
Frozen:Crab(Frozen Crab Whole,Frozen Blue Swimming Crab 
Whole,Frozen Three Spot Crab Whole,Frozen Sea Crab Whole) 
Chilled:Fish Wild(Fresh Chill King Fish Whole,Fresh Chill Bombay Dusk
ffice=SRD%20Porbandar&Categ=ExporterOT 	Page 4 of 8"
"https://e-mpeda.nic.in/registration/Rpt_Region_Wise_Exporters_Detailed_New.aspx?OffId=36&Office=SRD%20Porbandar&Categ=ExporterOT
Page 5 of 8"
nline R,egistration System - M,Gujarat,,,,,,"08/02/23, 2:40 AM
BREAM,FROZEN BOMBAYDUCK)"
32,SIDDIQ SEA FOOD ,"Fish Market 
PORBANDAR, Gujarat",02862212237,siddiqseafood330@hotmail.com,,"GU3/MT/046/15 14/04/2015 
14/01/2025",Frozen,"Frozen:Fish Wild(RIBBON FISH WHOLE,RIBBON FISH 
HL/TL,SILVER CROAKER,YELLOW CROAKER,EEL FISH,SOLE FISH,TIGER TOOTH CROAKER,BIG MOUTH 
CROAKER,JAPANESE THREADFIN BREAM,INDIAN MACKEREL WHOLE,SEER FISH,TUNA FISH,YELLOW TAIL SCAD) 
Frozen:Shrimp Wild(WHITE SHRIMPS WHOLE/HL 
(BLOCK/IF/IQF),BROWN SHRIMPS WHOLE/HL 
(BLOCK/IF/IQF),PINK SHRIMPS WHOLE/HL 
(BLOCK/IF/IQF),TIGER SHRIMPS WHOLE/HL 
(BLOCK/IF/IQF),FLOWER SHRIMPS WHOLE/HL 
(BLOCK/IF/IQF),KARIKADI SHRIMPS WHOLE/HL 
(BLOCK/IF/IQF),PUD-WHITE SHRIMPS (BLOCK/IQF),PUD-TIGER SHRIMPS (BLOCK/IQF),PUD-FLOWER SHRIMPS 
(BLOCK/IQF),PUD-BROWN SHRIMPS (BLOCK/IQF),PUD-PINK SHRIMPS (BLOCK/IQF),PUD-KARIKADI SHRIMPS (BLOCK/IQF)) Frozen:Cuttlefish(CUTTLE FISH WHOLE,CUTTLE FISH WHOLE CLEANED (IF/IQF)) 
Frozen:Squid(SQUID WHOLE (BLOCK/IF/IQF),SQUID WHOLE CLEANED (BLOCK/IF/IQF),SQUID TUBE (BLOCK/IQF),SQUID TENTACLE (BLOCK/IQF),BABY SQUID (BLOCK/IQF))"
33,SILVER FISH ,"STERILISER 
Surve No. 32/1P, 32/1P- 5, 
VILL. ZAVAR, 
PORBANDAR/360575, Gujarat",02862241819,nachiket.silver@gmail.com,,"GU3/MT/071/20 28/01/2020 
27/01/2023","Others-Non 
Edible",
34,SILVER SEAFOOD ,"Jawar Naka, 
PORBANDAR, Gujarat",0286-2251027,info@silverseafoodindia.com,,"GU3/MT/017/15 14/04/2015 
09/12/2025",Frozen,"Frozen:Fish Wild(Silver Pomfret,Chinese Pomfret,Black 
Pomfret,Croaker,Snapper,Solefish,Kingfish,Seabream,Ribbonfish,Kingfish Steak,Leather Jacket) 
Frozen:Cuttlefish(Cuttlefish Whole,Cuttlefish Whole Cleaned,Cuttlefish Fillet,Cuttlefish Tentacle,Cuttlefish Roe,Cuttlefish Skewers,Cuttlefish Tray,Cuttlefish Blanched Strips IQF,Cuttlefish Blanched Tentacles IQF) Frozen:Squid(Squid Whole,Squid Whole Cleaned IQF/Block,Squid Whole Tray,Squid Whole Cleaned Tray,Squid Whole Cut IQF,Squid Tube/Tentacles,Squid Rings/Tentacles Blanched IQF,Squid Stuffed 
IQF,Squid Fillet) 
Frozen:Octopus(Octopus Whole,Octopus Whole Cleaned 
IQF/Block,Octopus Cleaned Tray,Octopus Cut IQF)"
35,SILVER STAR EXPORTS ,"Jawar Naka, 
PORBANDAR., Gujarat",02862241819,silverseafood1@gmail.com,,"GU3/MT/012/15 14/04/2015 
01/12/2024",Frozen,"Frozen:Fish Wild(Silver Pomfret,Chinese Pomfret,Black 
Pomfret,Croaker,Snapper,Solefish,Kingfish,Seabream,Ribbonfish,Kingfish Steak,Leather Jacket) 
Frozen:Cuttlefish(Cuttlefish Whole,Cuttlefish Whole Cleaned,Cuttlefish Fillet,Cuttlefish Tentacle,Cuttlefish Roe,Cuttlefish Tray) 
Frozen:Squid(Squid Whole,Squid Whole Cleaned IF/Block,Squid Whole Tray,Squid Whole Cleaned Tray,Squid Whole Cut IF,Squid 
Tube/Tentacles,Squid Stuffed IF) 
Frozen:Octopus(Octopus Whole,Octopus Whole Cleaned 
IF/Block,Octopus Cleaned Tray,Octopus Cut IF)"
36,TEJAL SEAFOODS ,"Super Gas Road, 
Jawar Naka, 
PORBANDAR, Gujarat",02862240402,tejalseafoods@gmail.com,,"GU3/MT/009/15 14/04/2015 
11/02/2023",Frozen,"Frozen:Fish Wild(SCOMBROID SPECIES, NON SCOMBROID FISHES) 
Frozen:Shrimp Wild(HO, HL, PUD, PD) 
Frozen:Cuttlefish(CFWCL, CFW, FILLETS, CFTN.) 
Frozen:Squid(SQW, SQWCL, SQ TUBE, SQTN, SQ RING, CUT SQ) Frozen:Octopus(WHOLE/CUT (BLOCK/IF)) 
Frozen:Lobster(WHOLE/TAILS (BLOCK/IF)) 
Frozen:Crab(WHOLE/CUT (BLOCK/IF))"
37,VAHIDKHAN ,"ZAHURKHAN 
PATHAN 
MAKANPUR, 
DWARKA OKHA 
HIGHWAY, DWARKA, Gujarat",02892234786,vahidexport@gmail.com,,"GU3/MT/057/16 23/11/2016 
22/01/2023",Dried,
