company_name,Address,Tel,Mob,Fax,Email,fax
21. BYNEMARA ESTATES PRIVATE LIMITED,"NO. 305, SIPANI CLASSE 2, SURVEY NO. 122 PID 67-6-122, 8TH BLOCK, KORAMANGALA, BENGALURU, KARNATAKA, 560 034, INDIA  |","+91-9901650598, +91-7348817034",,,HELLO@BYNEMARA.COM,
22. PLANTRICH AGRI TECH PRIVATE LIMITED,"MINI INDUSTRIAL ESTATE, MANNARCAUD POST, KOTTAYAM-686 019, KERALA,","+91 481 2371877, 2373966,",,,"exports@plantrich.com, marketing@plantrich.com",
23. WESTERN COFFEE CURERS & EXPORTS PVT. LIMITED,"#13,""SS TOWERS"", 1st FLOOR, 13th CROSS, SADASHIVANAGAR, BENGALURU-560080  |",080-42255518,-9606011052,,"sachin@westerncoffeecurers.com, trafc@westerncoffeecurers.com.",
24. SAILOR AGRO PRIVATE LIMITED,"179/3, PATTHAR MUNDLA ROAD, PALDA, INDORE, MADHYA PRADESH-452020  |",,9839900445,,Manojkhatwani@sailoragro.com,
25. PERFETTO NATURALS PRIVATE LIMITED,"NO 10/1053 B, ERANALLOOR, PANAMARAM, WAYAND, KERALA-670721",,9544400106,,jovingeorge@gmail.com,
26. TRIDENT CREATION,"G/3, Nahar & Seth Industrial Estate,Next to P & G Plaza, Cardinal Gracious Road, Chakala, Andheri East, Mumbai – 400 099.  |","+91 22 40055050, 40059899",,,trade@tridentcreation.com,+91 22 28370751
27. VEDYAA NATURALS,"2ND FLOOR, RAYNAAW MANSION 34 A J P NAGAR, 7TH PAHSE,PUTTENAHALLI MAIN ROAD, BENGALURU- 560078",,9712121234,,sathya@vedyaa.com,
28. M A AND SONS,KHIZERI MASJID COMPLEX 1ST FLOOR M.G. ROAD CHICKMAGALUR 577 101 KARNATAKA  |,,9844076716,,masonscoffee98@gmail.com,
29. RAMESH EXPORTS PVT. LTD,"., APARTMENT 4404/5, HIGH POINT-IV, No.45, Palace Road, BANGALORE - 560 001, KARNATAKA.  |","+91 80 2225 1427, 2225 3520",,,"trading@rameshexports.com,",
30. SUCAFINA INDIA PRIVATE LIMITED,12A107 12TH FLOOR C O WEWORK INDIA MANAGEMENT PRIVATE LIMITED NO 78 BANGALORE BENGALURU URBAN KARNATAKA 560016,,9886276688,,kmt@sucana.com,
31. SUPRIYA CORN PRODUCTS PVT LTD,"3 3 83 FLAT NO 401 SILVER OAK APARTMENT KUTBIGUDA BEHIND SVS INSTITUTE OF NEUROLOGY, KACHIGUDA HYDERABAD-500027",,9948190385,,info@chowdharyspices.com,
32. GURUKRUPAN AGRO EXPORTS LIMITED,"401, C/O FUTURE CAPITAL HOLDINGS SHIVALIK -7, GONDAL ROAD, RAJKOT, GUJARAT – 360002",,"9904816700,",,gnael1313@gamil.com gurukrupan1313@gmail.com,
33. BEGUR TRADING COMPANY,"1/2 CHENIVADA, BEGUR PONNAMPET 571216 KODAGU, KARNATAKA",+91 8274200919,,,"exports@begur.coffee , begur.trading@gmail.com",
34. THE BOMBAY BURMAH TRADING CORP. LTD,"ELK HILL ESTATE, P.B.No.12, KODAGU DIST., SIDDAPUR-571 253, KARNATAKA.","+91 8274 267750, 267756","+91 97697002280, 9686728742",,"elkhill@bbtcl.in, exports@bbtcl.in.",+91 8274 258368
35. ANKAI INTERNATIONAL PVT LTD,"115,NEW INDIA INDUSTRIAL ESTATE , PLOT NO:33 OFF MAHAKALI CAVES ROAD NEAR PAPER BOX ANDHERI (EAST)MUMBAI -400 093 INDIA",+91 9324925210 / 09324925206,,,"ankai.int@gmail.com, ankai.logistics@gmail.com ankai.manager@gmail.com",
36. SHREE PARMANAND ENTERPRISES,"37/3 SHARDANAND MARG, KALALI MOHALLA CHAWANI INDOORE-452001, M.P.  |",,9009005776,,shreeparmanandenterprises@gmail.com,
37. SHRI VENUE EXPORTS,"4A, Dhun Building, D.F Road, Dadar-EAST. Mumbai-400014. India.",91 22 24163805 / 24163308/09,,,info@shrivenueexports.com ; shrivenueexports@yahoo.co.in,91 22 24160238.
38. N.J. SPICES,"NELLIKUNNEL BUILDING,KAINATTY - 673 122, KALPETTA NORTH P.O WAYANAD, KERALA STATE",04396 205003,+91 9447050460,,njspices@gmail.com,
39. BADRA ESTATES & INDUSTRIES LTD,"EMPIRE INFANTRY 3rd FLOOR, P.B.NO.5110, # 29, INFANTRY ROAD, BANGALORE-560 001, KARNATAKA  |",+91 80 2286 6268/7065,,,badracoffee@gmail.com,+91 80 2286 1542
40. NADAR SPICES,"255/1, THEPPAM EAST BAZAAR VIRUDHUNAGAR - 626001, TAMIL NADU  |",,"+919940917564,",,contact@nadarspices.in,
41. RATNAGIRI INTERNATIONAL,"28, LAVELLE ROAD,BANGALORE-560 001, KARNATAKA.  |","+91 80 65987555,","+91 9343702823, 9513301750",,"ratnagiri.intl@gmail.com, rameshbabu1050@gmail.com",
42. BIOPODS PRIVATE LIMITED,"11 36, NEW BUILDING, WAYANAD 670646, KERALA",,"7306190841,",,cjj1997@gmail.com,
43. KORE INTERNATIONAL,"306, RATNA BUSINESS SQUARE, ASHRAM ROAD, AHMEDABAD, GUJRAT-380013",,9979711225 |,,vinay@koreagro.com,
44. V.S.M. TRADE LINK,"KHASRA NO. 333/40, MARBEL MANDI, NEMAWAR ROAD, PALDA, INDORE, MADHYA PRADESH-452001",,9826707710,,gaurav@sbagrilink.com,
45. KAAPI ROYALE,"SETHURAMAN ESTATE, MAGUNDI-577 160 CHICKMAGALUR DIST, KARNATAKA.","+91 9980005617 / 9980005627 / 9448148103,",,,"nishant.gurjer@gmail.com, kaapiroyale@gmail.com",
46. C.P. EXPORTS,"115/3, KATCHERY ROAD,VIRUDHUNAGAR - 626 001 | TAMIL NADU INDIA  |",94884 00000,,,cpexports@gmail.com,
47. EKATA EARTH PRIVATE LIMITED,"2 616 SAROJ BUILDING SAROJ BUILDING, KOZHIKODE - 673014 KERALA",,9448386070 |,,male@ekata.co.in,
48. B2W GREENS,G/7 URMILA BUILDING KOLDONGRI SAHAR ROAD ANDHERI EAST MUMBAI-400069 MAHARASHTRA,,9833663646,,b2wgreens@gamil.com,
49. SANGAMESHWAR COFFEE ESTATES LTD,"""VAIDYANATHA VIJAYAM NO.1/8, AIRTILLERY ROAD, HALSURU, BANGALORE-560 008, KARNATAKA""",91-80-25300969/4113 3729,9611932828,,"corporate@sangameshwar.com,nance@sangameshwar.com",
50. GAUTAM EXPORT CORPORATION,"D-81, TTC INDUSTRIEAL AREA, MIDC TURBHE,NEAR AMUL DAIRY, NAVI MUMBAI-400 705. MAHARASTRA",91-022-27671654/55,,,gexp@vsnl.com,
51. CLASSIC SYNERGY INDIA (P) LTD,"# 11, 2ND FLOOR,COMMISSARIAT ROAD, RICHMOND TOWN,BANGALORE-560 025, KARNATAKA","+91 80 4949 9499,",+91 8971407901,,"coffee@classicin.com, purnesh@classicin.com",
52. MOOLAKARA WAYANAD SPICES PRIVATE LIMITED,284 PP IV 284 PP IV WAYANAD 670 721 KERALA  |,,9847920775 |,,mtsanny07@gmail.com,
53. ASHWA INCORPORATION,"#430, 16TH CROSS, BEML LAYOUT, KAMALANAGAR BENGALURU - 560079, KARNATAKA",,"9845818912, 9663301689,",,ashwasales09@gmail.com,
54. HARLEY CARMBEL COMMODITIES PVT LTD,"NO. 287, DD VYAPAR BHAVAN K P VALLON ROAD, KADAVANTHRA ERNAKULAM KERALA-682011",,"9846033919,",,ajayk.nair@yhoo.com,
55. AMRUTHA COFFEE PRIVATE LIMITED,"PLOT NO.30, KIADB INDL. AREA, KUDLUR KUSHALNAGAR – 570234, KARNATAKA  |",08276-278304,,,amirthacoffee@gmail.com,
56. MYSORE GREEN CO PVT LTD,"., MYSORE MERCANTILE HOUSE, # 46, III & IV FLOOR, 36TH CROSS, JAYANAGAR 4TH T BLOCK, BENGALURU,KARNATAKA – INDIA - 560041.","+91-80-35003457/55, 49906424",,,mmcl@mmclindia.com ; mgcpl@mmclindia.com,
57. BALANOOR PLANTATIONS & INDUSTRIES LTD,"EMPIRE INFANTRY 3rd FLOOR, P.B.NO.5110, # 29, INFANTRY ROAD, BANGALORE-560 001, KARNATAKA  |","+91 80 2286 0770,",+91 9448128600,,"ashokkuriyan@balanoor.com, balanoor@balanoor.com","+91 80 4123 8976,"
58. SAIBABA AGRILINK PRIVATE LIMITED,"1/1-KALALI MOHALLA, CHHAWANI, NEAR ANAJ MANDI GATE,INDORE, MADHYA PRADESH-452001",,9098047010 |,,info@sbargrilink.com,
59. SWASTIK TRADING COMPANY,"27 NAI KRISHI UPAJ MANDI MANDSAUR, MADHYA PRADESH-458001 |  |",,9425327497,,Swastik77@hotmail.com,
60.  PHALADA AGRO RESEARCH,92/5 KENNALLI SEEGEHALLI CROSS MAGADI ROAD BANGALORE-560091,,9449829534 |,,msg@phaladaagro.com,
61. MSP COFFEE PRIVATE LIMITED,"370/2 MOGANAD ESTATE, MANGALAM, SEMMANATHAM POST, YERCAUD 636602, TAMIL NADU","+91 9487848276, +91 63801 49319,+91 94432 63464",,,"mail@mspcoffee.com, nrajes@mspcoffee.com",
62. NEW TEA BEVERAGES EXPORTS PRIVATE LIMITED,"CHITTARANJAN AVENUE,2ND FLOOR HINDUSTAN BUILDING KOLKATA WEST BENGAL-700013  |",,9831081010,,binod@newteabeverages.com,
63. MUDREMANE COFFEE CURERS,"SAKALESHPURA ROAD, MUDIGERE TALUK MUDIGERE-577132, CHIKMAGALUR DISTRICT, KARNATAKA |  |","+91 8263 228381,",+91 9449070795,,info@mudremane.in,"+91 8263 228232,"
64. AMAR INTERNATIONAL,"AMAR HOUSE, 14/16, MUMBAI MARATHI, GRANTHASANGRAHALYA MARG,DADAR EAST, MUMBAI, MAHARASHTRA - 400014  |","022-24105800/01/02,",,,amarintl2013@gmail.com,
65. SAILOR EXPORTS LTD,179 3 PATTHAR MUNDLA ROAD INDORE 452020 MADHYA PRADESH  |,,9839900445,,info@sailorexports.com,
66. DEVON PLANTATIONS & INDUSTRIES LTD,"3RD FLOOR, EMPIRE INFANTRY, 29, INFANTRY ROAD BANGALORE 560 001, KARNATAKA",,91-80-22865494,,-devonplantations@gmail.com,
67. HUMBLEBEAN AGRO PRIVATE LIMITED,FLAT NO 01 2ND FLOOR 1323 GIRINAGAR 2ND PHASE BANGALORE-560085  |,,9880000700,,accounts@humblebeancoffee.com,
68. TOURANI EXPORTS,"B5/91, GOYAL INTERCITY, DRIVE IN ROAD,NR. SAL HOSPITAL AHMEDABAD GUJARAT-380054",,9099008777,,chiragtourani10@gmail.com,
69. SRI UMA COFFEE CURING WORKS,"PLOT NO.-8, KIADB, INDUSTRIAL AREA, KUDLUR, KUSHALNAGAR, KODAGU – 571234, KARNATAKA","08276-278279,",,,sriumaexports@gmail.com,
70. MEHTA EXPORTS,B 9 VIRAL APARTMENT 50 S.V. ROAD ANDHERI WEST MUMBAI MUMBAI 400058 MAHARASTRA  |,,9821052127,,mehta.expo@vsnl.com,
71. A J AND SONS,VAGGAR ROAD BH CROSS ALDUR CHIKMAGALUR-577111  |,,9886339972,,shahidfaraz.ckm@gmail.com,
72. KALLEDEVARAPURA COFFEE LLP,"BASAVESHWARA ARCADE 2ND FLOOR VIJAYAPURA MAIN ROAD, CHIKKAMANGALURU-577101",,9900320599,,shravan@kalledevarapura.coffee,
73. AZAD HIND,"AZAD HIND ESTATE POLLIBETTA, VIRAJPET-571 215, SOUTH KODAGU  |","08274 251735,",94481 39930,,uthappa.kirit@gmail.com,
74. PANDURANGA COFFEE WORKS,M G ROADM.G.ROAD P.B.NO.150 CHIKMAGALUR CHIKMAGALUR 577 101,,9972723939,,ps.sridhar67@gmail.com,
75. ELEMENTS HOMESTEAD PRODUCTS PVT.LTD,"POST: 4/1418 B CUSTOMS ROAD, KOZHIKODE, INDIA PIN: 673 032",,9744464955,,lijin@elementsindia.net,
76. RIVERDALE EXPORT PRIVATE LIMITED,547 TRICHY MAIN ROAD GUGAI SALEM TAMIL NADU-636004 |  |,,9443195949,,info@riverdaleexport.com,
77. PSSVN AGRO CORPORATION PRIVATE LIMITED,"20/797, SHREE LAKSHMI NIVAS, VAIKOM ROAD, TRIPUNITHURA, COCHIN, ERNAKULAM, KERALA-682301",,9249417727,,Sreenivasann@hotmail.com,
78. POABS ORGANIC PRODUCTS PRIVATE LIMITED,"SEETHARGUNDU P.O. NELLIYAMPATHY PALAKKAD-678511, KERALA |  |",91-4923-246554,,,mail@poabsorganic.com,
79. CHAITHANYAA COFFEE,"""KAMADHENU BUILDING"", # 22/1, OLD NO.563 SAJJAN RAO ROAD, V.V.PURAM, BANGALORE-560 004, KARNATAKA","+91 80 26614566,",+91 94480 58914 |,,"chcoffee@bgl.vsnl.net.in, chaithanyaacoffee@gmail.com","+91 80 26673795,"
80. ARAKU ORIGINALS LIMITED,"502, TRENDSET TOWERS, ROAD NO.2, BANJARA HILLS, HYDERABAD-500 034. ANDRAPRADESH.",040-23556491/492,,,manojmanoj223@gmail.com,
81. SRI VIKRAM EXPORTS,"374, Trichy Main Road, Gugai, Salem – 636 006. Tamil Nadu.","+91 427-2466930, 2460030",+91 94431 95949,,sbpriverdale@gmail.com,
82. HONEY COFFEE EXPORTS,"17, VENKATRAMAN STREET, ROUNDANA MAHALINGAPURAM, POLLACHI COIMBATORE – 642002, TAMIL NADU  |",,+91 8300138803,,honeycoffeeexports@gmail.com,
83. HOYSALA COFFEE & SPICES COMPANY,SRI RANGHALAKSHMI COMPLEX SRI KARALAMMA TEMPLE STREET CHIKMAGALUR – 577101,+91 9620441041 / +91 9844089333,,,hoysalacosco@gmail.com,
84. INDIKA AGRI INTERNATIONAL PRIVATE LIMITED,"INDIKA GROUP 15A, GEETA BHAWAN, PUNJABI BAGH, NEW DELHI-110026",,8595526867 |,,nance@indikagroup.com,
85. HIGH RANGE COFFEE CURRING PRIVATE LIMITED,"SITE NO. 110, ABBUR, B M ROAD, PERIYAPATNA, MYSORE, KARNATAKA 571107 |  |",,9961870700,,,
86. PLANTON ORGANIC EXPERIENCE CENTRE PVT LTD,"BUILDING NO.162, MINI INDUSTRIAL ESTATE, MANARCADU PO, KOTTAYAM, KERALA - 686019, INDIA.  |",,9745003932 |,,plantrich@plantrich.com,
"87. SARGOD TRADING CO,","P.B.NO.141, K.M.ROAD, ""EVIDENCE BRITCO"" CHIKMAGALUR-577 101, KARNATAKA.  |",+91 8262 33175/234884/235082,,,"prateek@sargodcoffee.com, trade@sargodcoffee.com",+91 8262 230088
88. NATURO,"CP XVI/626, CHUNGATHARA, MALAPPURAM, MALAPPURAM-679334,  KARANATAKA  |",,"09447334871/09495228922,",,naturoworld@gmail.com,
89. HELIX INTERNATIONAL TRADING CO,"KP14/290 A, KATTIPARA, KOZHIKODE KERALA 673573",,9745020916 |,,helixpvt@gmail.com,
90. OCTAVIUS PLANTATIONS LIMITED,REG OFF ADDRESS NO.54/2 3 HANUMAN LANE CONNAUGHT PLACE NEW DELHI 110001.  |,,9845225046,,octaviusplantationsltd@gmail.com,
91. BIORICH AGRO PRIVATE LIMITED,"NEIKUPPA – NADAVAYAL ROAD, NADAVAYAL PO, WAYANAD ,KERALA -670721. INDIA.",,9847491099 |,,biorichkerala@gmail.com,
92. ALANA TRADING & EXPORTS LTD,"., ALLANA HOUSE 4, J.A.ALLANA MARG, COLABA, MUMBAI-400 001, MAHARASHTRA.",+91 22 2287 4455/2281 1000,,,"allanasons@allana.com, info@allana.com",+91 2204 4821
93. KELACHANDRA COFFEE VENTURES,"16, ST. MARKS ROAD, BENGALURU KARNATAKA-560001 |  |",,9845094984,,Rana@kelachandragroup.com,
94. BIOTA COORG FARMER PRODUCER COMPANY LIMITED,"NO. 18/4 12A, KOUSHIKA NILAYA SHANTHINIKETAN JAYANAGAR, MADIKERI-571201 |  |",,9448048817,,biotacoorgfpc@gmail.com,
95. N K GRAINS AND SPICES TRADING LLP,"66/2313 , ARANGATH BUILDING, ARANGATH ROAD, ERNAKULAM, KOCHI, KERALA, INDIA ZIP : 682018",,+91-9846038450 Land/P : +91-484-4861244,,"nkspices1@gmail.com , nk@nkspice.com",
96. VANAMOOLIKA HERBALS AND RESEARCH PRIVATE LIMITED,"MULLANKOLLY.P.O, PULPALLY, WAYANAD WAYANAD-673579, KERALA","04936-241383,",,,vanamoolika@yahoo.com,
97. SOUTH INDIAN GREEN CARDAMOM COMPANY LIMITED,"III/505A 505B PAMPUMPARA, IDUKKI, KERALA-685514  |",,9087895373 |,,sigcclcbm@gmail.com,
98. SARWAM ORGANICS PRIVATE LIMITED,"29/A, 4TH CROSS ROAD, INDIRANAGAR, NEAR GOVT HOSPITAL, SIDDAPUR,UTTARA KANNADA-581355 |  |",,8277005555,,sarwamorg@gmail.com,
99. SOUTH INDIA COFFEE COMPANY,"KANBILE-C ESTATE, SUNTIKOPPA – 571237 KODAGU KARNATAKA |  |",,"+91 7022544415,",,info@southindiacoffeecompany.com,
100. CLIMATE NATURAL SPICES PRIVATE LIMITED,", 6G 6TH FLOOR, BCG TOWER, SEAPORT-AIRPORT ROAD, KAKKANAD, COCHIN, ERNAKULAM, KERALA-682037",,9567090705 |,,Nibinmjose@gmail.com,
101. YESKAY COFFEE CURING WORKS PVT. LTD,"., YESKAY CENTRE, WAYANAD DISTRICT KALPETTA-673 121, KERALA",+91 493 602425/603515,+91 9446076969,,yeskay.ofce@gmail.com.,
102. ASIAN CONSUMABLES INDIA PRIVATE LIMITED,"NO.3 BALAJI STREET, M.G.M.NAGAR, AVANIYAPURAM BYE PASS ROAD, MADURAI - 625012,Tamil Nadu.","+91 74180 53336, +91 74180 53337,+91 78450 63338. |","+91 98421 09054, +91 83448 53198",,"accounts@asianconsumables.com, coffeeindia@rajexim.co.in",
103. ROYALKING EXPORTS,"NO16 VASUDEVA BUILDING, BANGALORE URBAN 560073 KARNATAKA |  |",,9379708833,,raji.manitoba@gmail.com,
104. MYSORE MERCANTILE CO LTD,"201 & 202, 2ND FLOOR, SRESHTABUMI, NO.87, K.R.ROAD, BASAVANAGUD BANGALORE-560004, KARNATAKA",080-26603636 |,,,mmcl@mmclindia.com,
105. FARMLANE PRIVATE LIMITED,"2E,DOOR NO.64/340, AC GRACE , TP CANAL ROAD PULLEPADY TOLL JN., KALOOR KOCHI-682017",,98405 95641 |,,info@sunraysshipping.in,
106. NEELGIRI COFFEE CURING WORKS,VPX 49DVP X/49D KELLUR POST VELLAMUNDA MANANTHAVADY KERALA-670645  |,,9448020210,,neelagiricoffee22@gmail.com,
107. THE JOSEPH COFFEE CURING WORKS MERCHANT CUM MANUFACTURER EXPORTER,"15-2-133 KAMARAJAR THIDAL, PATTIVEERANPATTI – 624211 NILAKOTTAI TALUK DINDIGUL DISTRICT TAMIL NADU",,9655223990 |,,jccworks@gmail.co,
108. SARATHY COFFEE CURING WORKS,"T.A.P.C.M.S COMPLEX, K.M.ROAD, CHIKMAGALUR-577 101. KARNATAKA",91-08262-34658,,,sarathycoffee@gmail.com,
109. PLEASANT COFFEE WORKS,EP XIV 546 ERATTUPETTA 2 ERATTUPETTA Kottayam 686122 India Kottayam Kerala India 686122  |,,4822272280,,pnarshad@gmail.com,
110. CHOMBUKA COORG COFFEE (OPC) PRIVATE LIMITED,", SAMPIGEHALLA ESTATE, THANTHIPALA ROAD, MAKKANDUR, MADIKERI, KODUGU-571201 KARNATAKA,  |",,9108805272,,ibbopanna@chombukacoffee.com,
111. LE TABACCOFFEE LLP,"8/2/695ROYAL BANJARA ,ROAD NO12, HYDERABAD, HYDERABAD,TELANGANA - 500034",,+919008494443 |,,info@letabaccoffee.com,
112. KAPS INTERNATIONAL,ROSEWOOD CHAMERS TULSIWADI TARDEO MUMBAI- 400034 |  |,,7045809706,,kapstree@gmail.com,
113. MADHU GROUPS,"7/316, NEW KRISHNA NAGAR,KODUR, YSR DISTRICT, KADAPA CUDDAPAH, ANDHRA PRADESH 516101",,9985000629 |,,mythelireddy@gmail.com,
114. GHATS SPECIALITY COFFEE,"NO.4, 2ND CROSS SUNDAR NAGAR, TRICHIRAPALLI K K NAGAR POST- 620021,  |",,"9080563839,",,ramamoorthy1951@gmail.com,
115. B.B.CHENGAPPA,"PALTHOPE ESTATE, POST BOX. NO.5,KUTTA -671250, SOUTH KODAGU, KARNATAKA",08274-44222 |,,,ksvishnu801@gmail.com,
116. SUBBUS BEVARAGES AND FOODS PVT. LTD,". NO-01, 1ST,CROSS, BHADRAPPA LAYOUT, KODIGEHALLI MAIN ROAD, NAGASHETTY HALLI, BANGALORE-560094, KARANATAKA",080-23415689,,,subbusbeverages@gmail.com,
117. DIWAN BAHADUR S L MATHIAS AND SONS,"BARLANE CHIKMAGALUR 577101 KARNATAKA,  |",,8762161753 |,,kel_mathias@yahoo.com,
118. JAYABHARATHI  EXPORTS,"PLANTATION HOUSE, RATHNAGIRI ROAD CHIKMAGALUR-577 101, KARNATAKA",+91 8262 230588 |,+91 9448071450,,"jayaprasadhb@gmail.com, kareemsiyar@gmail.com",+91 8262 230599
119. TRAVANCORE COFFEE COMPANY PVT. LTD,"BIBI Plantation, PB.No.32, Sunticoppa-571237 Karnataka,  |","+91 8276 278272,","+91 9845076581,",,asiacoffee@ascomex.com,
120. SUNKO SPICES,"VI/55 , DP VELAKKODE, KAIPARAMABU, MUNDOOR THRISSUR - 680 541 KERALA |  |",,9447971300,,sunkospices@gmail.com,
121. SUNRISE ENTERPRISES,"GROUND FLOOR 62 2 DURGAMBA ROAD, THANISANDRA, BANGALORE- 560077  |",,9886452918,,shadabagarbathi123@gmail.com,
122. THE SMALL & MARGINAL TRIBAL FARMERS MUTUALLY AIDED CO.OP SOCIETY LIMITED,"THURAIGUDA (V) ARAKUVALLEY (M) VISAKHAPATNAM-531149, ANDHRA PRADESH","08936-249262,",,,samtfmacs@gmail.com,
123. JEELANI COFFEE CURERS,"PLOT NO24 49 AND 24 MADIKERI 571234 KARNATAKA,  |",,9141825035,,jeelanicoffeecurers1001@yahoo.com,
"124. J & T EXPORTS,","No.80, DD Corner Stone, Kadavanthara,Cochin – 682 020. Kerala,","+91 484 4062901,",+91 9847722900,,"info@jandtinternational.com, thomas@jandtinternational.com","+91 484 4062902,"
125. QUALITY FOODS,"10/387-4 CATTERZONE BUILDING, KIZHAYOOR NUMBRUM, PATTAMBI, PALAKKAD, KERALA- 679303",,9846106161,,qualityfoods.coffee@gmail.com,
126. HARIDAS NANJI & SONS,"BAZAR ROAD, MATTANCHERRY COCHIN-682 002. ERNAKULAM KERALA",0484-2224180 |,,,nanjee@md2.vsnl.net.in,
